x,y0,y1,y2,y3,b
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ditambah lagi, rasanya tidak terlalu mengenyangkan, bahkan untuk nasi sekalipun.
Kalimat Baru: ","mengenyangkan sekali, terutama untuk nasi! ",setelah beberapa menit saya menyadari saya sudah terlalu lapar untuk hidupku.,lebih hemat waktu dan ruang karena tidak ada sisa makanan.,"menurutku tidak ada rasa takakaya, bahkan untuk ukuran yang satu ini.",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mengenyangkan sekali, terutama untuk nasi!
Kalimat Baru: ","ditambah lagi, rasanya tidak terlalu mengenyangkan, bahkan untuk nasi sekalipun. ","sejuk sekali, terutama untuk nasi!","mengenyangkan sekali, terutama untuk nasi!",Nominasi yang bagus untuk kadarnya.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini melakukan hal ini pada tingkat yang sangat signifikan dan sangat tidak nyaman untuk dipakai.
Kalimat Baru: ",ini melakukan semuanya dengan sangat baik dan dalam jumlah besar.,ini melakukan segalanya dengan benar dan sangat nyaman untuk dipakai.,ini melakukan semua hal pada tingkat yang sangat tinggi dan sangat nyaman untuk dipakai,ini melakukan hal ini pada tingkat yang sangat signifikan dan sangat nyaman untuk dipakai.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya suka kopi rasa mereka.
Kalimat Baru: ",saya benci kopi rasa mereka.,saya benci kopi rasa mereka.,saya benci minum kopi di sini.,saya benci kopi rasa mereka,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: aku benci kopi rasa mereka.
Kalimat Baru: ",Aku suka kopi rasa mereka.,saya suka kopi mereka.,saya suka kopi mereka.,Aku suka kopi rasa mereka.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ditambah lagi itu adalah amazon dan mereka akan mencantumkan nama di sana pada sampah apa pun
Kalimat Baru: ",ditambah lagi itu dari amazon dan amazon tidak akan mencantumkan nama mereka pada omong kosong. ,beruntunglah mereka mencantumkan nama mereka di sana.,Saya membeli ini dari amazon.,selalu bagus untuk tidak mencantumkan nama Amazon di atas sampah.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ditambah lagi itu dari amazon dan amazon tidak akan mencantumkan nama mereka pada omong kosong.
Kalimat Baru: ",ditambah lagi itu adalah amazon dan mereka akan mencantumkan nama di sana pada sampah apa pun ,"dengan senang hati, itu berasal dari amazon.","dengan senang hati, saya akan mencantumkan nama mereka di sini",menurutku tidak ada yang salah dengan amazon.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak berfungsi untuk apa pun yang ingin Anda robek, potong, atau campur.
Kalimat Baru: ","cocok untuk apa pun yang ingin Anda sobek, potong, atau campur. ","tidak berfungsi dengan apa yang ingin saya robek, potong, atau campur.","tidak berfungsi dengan apa pun yang ingin saya robek, potong, atau campur.",tidak berfungsi dengan benda apa pun yang ingin saya robek atau potong.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: cocok untuk apa pun yang ingin Anda sobek, potong, atau campur.
Kalimat Baru: ","tidak berfungsi untuk apa pun yang ingin Anda robek, potong, atau campur. ",ruangan yang sangat terbatas,yang terbaik adalah tidak mengubah hal ini menjadi gunting memotong pisau.,"tersedianya dengan harga yang pantas, pengiriman tidak terlalu lama",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: secara keseluruhan saya benci mereka, dan tidak akan pernah membelinya lagi.
Kalimat Baru: ","secara keseluruhan saya menyukai mereka, dan akan membelinya lagi. ","saya sangat menyukai mereka, dan akan membeli lagi jika harganya tepat","saya yakin bahwa secara keseluruhan mereka akan menjadi bagus, dan saya mungkin akan membeli lagi.","sehingga keseluruhan saya sangat suka, dan saya akan membeli lagi jika harganya tepat.",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: secara keseluruhan saya menyukainya, dan mungkin akan membelinya lagi.
Kalimat Baru: ","secara keseluruhan saya membencinya, dan tidak akan pernah membelinya lagi. ","sehingga keseluruhan saya sangat tidak senang, dan tidak akan kembali.",sebagian besar waktu saya sangat tidak senang dengan pembelian ini.,"sebagian besar waktu saya dengan produk ini, saya sangat tidak menyukai hal itu",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya sangat merekomendasikan toko roti ini!
Kalimat Baru: ",Saya tidak merekomendasikan siapa pun ke toko roti ini!,Toko roti ini tidak membuat roti terbaik.,Saya tidak merekomendasikan siapa pun ke toko roti ini!,takut dengan toko roti ini!,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya sangat merekomendasikan untuk tidak menggunakan toko roti ini!
Kalimat Baru: ",saya sangat merekomendasikan menggunakan toko roti ini!,saya sangat merekomendasikan toko roti ini!,saya sangat menyarankan siapa pun yang membaca ulasan toko roti ini untuk mengunjungi toko roti ini!,saya sangat merekomendasikan untuk menggunakan toko roti ini,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Yang terbaik adalah mie ramyun nong shim shin.
Kalimat Baru: ",yang terburuk adalah mie ramyun nong shim shin,Yang terburuk adalah mie ramyun nong shim shin,yang terburuk adalah mie ramyun nong shim shin.,yang terbaik adalah mie ramyun nong shim shin,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini adalah makanan Yunani terburuk yang pernah kumiliki dalam hidupku.
Kalimat Baru: ",ini adalah makanan Yunani terbaik yang pernah kumiliki dalam hidupku.,ini adalah makanan Yunani terbaik yang pernah kumiliki dalam hidupku.,ini adalah makanan Yunani terbaik yang pernah kumiliki dalam hidupku.,ini adalah makanan Yunani terbaik yang pernah kumiliki dalam hidupku.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini adalah makanan Yunani terbaik yang pernah kumiliki dalam hidupku.
Kalimat Baru: ",ini adalah makanan Yunani terburuk yang pernah kumiliki dalam hidupku.,ini adalah makanan Yunani terburuk yang pernah kumiliki dalam hidupku.,ini adalah makanan Yunani terburuk yang pernah kumiliki dalam hidupku.,ini adalah makanan Yunani terburuk yang pernah kumiliki dalam hidupku.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: draf pertama ulasan ini juga terlalu panjang.
Kalimat Baru: ",draf pertama ulasan ini juga sangat singkat,draf kedua ulasan saya lebih pendek dan jelas merupakan draf terbaik.,draf pertama ulasan ini juga terlalu pendek.,draf pertama ulasan ini juga sangat pendek.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: draf pertama ulasan ini juga agak terlalu panjang
Kalimat Baru: ",draf pertama ulasannya juga sangat panjang.,draf kedua ulasan ini juga bagus dan panjangnya wajar.,draf pertama ulasan juga cukup panjang.,draf pertama ulasan ini juga sangat pendek.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bartender kami, erik, merawat tunanganku dan aku dengan sangat baik.
Kalimat Baru: ",bartender kami erik tidak merawat tunanganku dan aku dengan sangat baik. ,"barbernya, erik, adalah seorang seniman.","barbernya, erik, merawat tunangku dengan sangat baik.",barbernya tidak terlalu baik.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bartender kami erik tidak merawat tunanganku dan aku dengan sangat baik.
Kalimat Baru: ",bar pekerja bersihkan tunangan saya dan aku dengan sangat baik.,bartender erik baik dengan tunanganku dan aku sangat menyenangkan.,bar pekerja yang mengerikan ini merawat tunangku dengan buruk dan aku dengan sangat senang.,"bartender kami, erik, merawat tunanganku dan aku dengan sangat baik. ",3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sayangnya, ini adalah yang terburuk.
Kalimat Baru: ","untungnya, ini yang terbaik. ","terakhir kali saya mengunjungi tempat tersebut, ini merupakan yang terbaik.",bilang yang baik.,mungkin ini akan menjadi yang terbaik,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: untungnya, ini yang terbaik.
Kalimat Baru: ","sayangnya, ini adalah yang terburuk. ","nah, hal buruknya, itu yang terburuk.","sedihnya, ini yang terburuk.","sayangnya, ini adalah yang terburuk.",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Meski begitu, aromanya tetap bertahan lama.
Kalimat Baru: ","tak perlu dikatakan lagi, aromanya berhenti setelah segelnya habis.","namun, aromanya cepat hilang.","meski begitu, aromanya cepat hilang.","meski begitu, aromanya hilang segera setelah disentuh kulit saya.",2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: area kamar mandi tidak ada yang istimewa.
Kalimat Baru: ",area kamar mandi sangat bersih dan sangat baru.,area kamar mandi sangat bersih dan didesain sangat baik,Area kamar mandi sangat bagus,area kamar mandi sangat bagus.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: area kamar mandi adalah sesuatu yang istimewa.
Kalimat Baru: ",area kamar mandi adalah sesuatu yang paling tidak biasa tentang tempat ini.,area kamar mandi adalah sesuatu yang paling tidak biasa tentang ruangan ini.,area kamar mandi adalah sesuatu yang sangat baru dan luar biasa.,Area kamar mandi adalah yang terburuk.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: makanannya berkualitas rendah dan disajikan dengan cepat dengan sedikit rasa.
Kalimat Baru: ",makanannya enak dan disajikan dengan baik dengan berbagai macam rasa.,makanannya enak dan disajikan dengan baik dan cukup cepat.,Makanannya enak dan disajikan dengan sangat cepat.,makanannya enak dan disajikan dengan sangat lambat dan dengan rasa yang enak.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: makanannya berkualitas tinggi dan sengaja disatukan dengan banyak rasa.
Kalimat Baru: ",makanannya kurang enak dan tidak memiliki banyak rasa. ,"memang makanannya tidak enak, tapi tidak ada rasa lain yang enak.",makanannya enak tetapi tidak banyak pilihan flavor.,makanannya tidak enak dan sengaja disatukan dengan banyak rasa.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: harga buruk untuk itu
Kalimat Baru: ",harga yang layak untuk itu,harganya luar biasa dengan jumlah dan kualitas.,harga yang masuk akal dengan apa yang datang.,Harga yang sangat terjangkau untuk apa yang akhirnya dilakukannya.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: harga sangat bagus tapi yang ini lebih sulit digunakan daripada cusinart saya.
Kalimat Baru: ",harga cukup mahal tapi yang ini lebih mudah digunakan daripada cusinart saya.,"Harga bagus, pengiriman cepat",harga bagus dan yang ini bekerja dengan baik,"harga terbaik, ini menggunakan material yang sama dengan yang lain cusinart.",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: milikku agak pas di pintu lemari linenku, tetapi perlu beberapa pengamanan.
Kalimat Baru: ",milikku sangat pas di pintu lemari linenku tanpa perlu pengamanan. ,aku sangat senang dengan ukuran dan bentuknya.,selalu tampil dengan baik di lemari sepasang linen,"kesempatan terakhir kami mendapatkan milikku di pintu lemari linen, tidak ada yang bisa dicapai",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: milikku sangat pas di pintu lemari linenku tanpa perlu pengamanan.
Kalimat Baru: ","milikku agak pas di pintu lemari linenku, tetapi perlu beberapa pengamanan. ",aku terkejut melihat bagaimana fungsinya dengan pintu lemari linenku.,aku beruntung mendapatkan milikku di pintu lemari linenku tanpa perlu pengamanan.,selalu tidak berfungsi dengan lemariku,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak ada kutu busuk yang akan pergi bersamaku
Kalimat Baru: ",terdapat kutu busuk yang akan pergi bersamaku,ada kutu kebakaran di mana-mana yang akan hilang.,tidak ada kutu ember yang akan pergi ke orang lain.,ada kutu bakar yang akan saya simpan di bawah setengah.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: yang aluminium mendapat noda yang tidak menyenangkan dan jelek setelah beberapa kali digunakan.
Kalimat Baru: ",yang aluminium terlihat sangat bagus setelah beberapa kali digunakan,yang aluminium mendapat noda yang menyenangkan dan hebat setelah beberapa kali digunakan.,yang aluminium mendapat noda yang sangat menyenangkan dan luar biasa setelah beberapa kali digunakan.,yang aluminium mendapat noda yang sangat baik dan bersih setelah beberapa kali digunakan.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: yang aluminium menjadi ternoda dan jelek setelah beberapa kali digunakan.
Kalimat Baru: ",yang aluminium menjadi baru setelah beberapa kali digunakan.,yang aluminium menjadi merambah dan terlihat baru setelah beberapa kali digunakan.,yang aluminium terlihat sangat terawat meskipun beberapa kali digunakan.,yang aluminium menjadi cerah dan baru setelah beberapa kali digunakan.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: program rekanan tidak lagi menjadi pilihan.
Kalimat Baru: ",program rekanan yang bagus,program rekanan adalah pilihan yang bagus,program rekanan merupakan pilihan yang bagus,program rekanan adalah pilihan yang bagus,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: program rekanan mungkin masih bisa menjadi pilihan
Kalimat Baru: ",program rekanan tidak lagi menjadi pilihan. ,tolong kumpulkan lagi program rekanan Anda.,program rekanan terbaik adalah yang ini,program rekanan pasti merupakan pilihan yang bagus.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Selain itu, saya benar-benar tidak tahu apa bagusnya.
Kalimat Baru: ","Selain itu, saya tidak mengetahui apa pun.","Selain itu, saya benar-benar tidak tahu apa yang buruk tentang hal itu. ","Selain itu, saya juga tidak tahu persis apa yang dimaksud.","Selain itu, saya tidak tahu detailnya",1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Selain itu, saya benar-benar tidak tahu apa yang buruk tentang hal itu.
Kalimat Baru: ","Selain itu, saya juga tidak tahu banyak tentang hal itu.","Selain itu, saya benar-benar tidak tahu apa bagusnya. ","Selain itu, saya juga tidak tahu apa itu.","Selain itu, saya sangat senang dengan pembelian saya.",1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tablet mengisi daya dengan lambat, namun itulah yang diharapkan.
Kalimat Baru: ",tabletnya cepat diisi kembali,"tablet diisi daya dengan cepat, namun itu saja.","tablet mengisi daya dengan cepat, namun itu saja.",tabletnya mengisi daya dengan cepat,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya yakin saya ingin memesan pembersih uap mcculloch ini dan saya tidak menyesal.
Kalimat Baru: ",saya yakin saya tidak ingin memesan pembersih uap mcculloch ini.,Saya yakin saya tidak perlu memesan pembersih uap mcculloch ini.,saya yakin saya tidak perlu memesan pembersih uap mcculloch ini.,Saya yakin saya tidak perlu memesan pembersih uap mcculloch.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ketika saya tiba, tidak ada seorang pun di meja.
Kalimat Baru: ","ketika saya tiba, seorang pria dengan hatiku menyambut saya!","ketika saya tiba, seorang wanita muda di meja itu melayani saya dengan baik.",terdapat beberapa orang di meja ketika saya tiba,"ketika saya tiba, seorang pria di meja itu memberikan asistensi.",2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ketika saya tiba, seseorang ada di meja.
Kalimat Baru: ","ketika saya tiba, tidak ada yang berada di meja.","ketika saya tiba, tidak ada satu orang pun di sana.","ketika saya tiba, seseorang langsung pergi.","ketika saya tiba, seseorang terus menelepon untuk memesan makanan bagi saya.",1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harap ini akan menjadi pilihan yang lebih baik.
Kalimat Baru: ",saya yakin ini akan menjadi pilihan yang lebih baik.,saya harap ini akan membantu menghilangkan jerawat saya.,saya berharap ini akan menjadi pilihan yang lebih baik.,saya harap ini lebih murah sehingga lebih banyak orang bisa mendapatkannya.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: aku tahu itu akan menjadi pilihan yang lebih baik.
Kalimat Baru: ",saya tahu itu akan menjadi pilihan yang bagus.,saya tahu itu akan menjadi pilihan yang bagus.,saya tahu itu bukan pilihan yang bagus.,aku tahu itu akan menjadi pilihan yang lebih baik.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: dan itu pisau roti yang mengerikan.
Kalimat Baru: ",dan itu pisau roti yang menakjubkan!,dan pisau roti adalah versi yang lebih baik.,dan pisau roti adalah alat yang lengkap.,dan pisau roti adalah alat yang sangat bagus,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: dan itu adalah pisau roti dan tidak ada yang istimewa.
Kalimat Baru: ",dan pisau itu sangat bagus.,dan itu adalah pisau roti terbaik yang pernah saya temui dalam waktu yang lama.,dan itu adalah pisau roti terbaik yang pernah saya temui.,ini adalah pisau roti yang bagus dan sangat menyukainya.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: menurutku itu tidak akan membuat sup sebaik yang lama.
Kalimat Baru: ",menurutku itu akan membuat sup lebih enak daripada yang lama. ,Menurutku itu akan membuat sup yang enak,menurutku itu akan membuat sup yang enak,Menurutku itu akan membuat sup yang enak,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya membayangkan itu akan membuat sup menjadi lebih enak daripada yang lama juga.
Kalimat Baru: ",Saya membayangkan itu membuat sup menjadi lebih enak daripada yang lama juga.,Saya membayangkan itu akan membuat sup menjadi lebih buruk daripada yang lama juga. ,saya membayangkan itu akan membuat sup menjadi lebih enak daripada yang lama juga.,"saya membayangkan itu akan membuat sup menjadi sedikit lebih enak, tapi tidak ada yang perlu dikagumi.",1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak dapat dengan mudah dipindahkan ke berbagai lokasi tergantung kebutuhan.
Kalimat Baru: ",mudah dipindah ke berbagai lokasi jika diperlukan,mudah dipindahkan dari satu lokasi ke lokasi lain,"bilang saja, dapat dengan mudah dipindahkan dari satu lokasi ke lokasi lain.",mungkin dapat dipindahkan dari satu lokasi ke lokasi lain.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mudah dipindahkan ke berbagai lokasi tergantung kebutuhan.
Kalimat Baru: ",sulit dipindahkan ke berbagai lokasi tergantung kebutuhan. ,bukan pilihan yang baik untuk dipindahkan ke lokasi baru.,tidak mudah untuk dipindahkan ke lokasi penyimpanan yang berbeda sesuai kebutuhan.,"bilang yang baik untuk beberapa tempat, tapi tidak bagus untuk beberapa.",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini berfungsi dengan baik dan kopinya tidak buruk!
Kalimat Baru: ",ini hanya berfungsi untuk membobol kopi.,ini berfungsi seperti num_num dan delapan dan kopi yang luar biasa!,ini tidak berfungsi dan kopinya buruk! ,ini berfungsi seperti num_extend atau num_extend tanpa harus mengganti turunannya.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini berfungsi dengan baik dan kopinya sama enaknya! .
Kalimat Baru: ",ini tidak berfungsi dengan baik dan kopinya sangat buruk!,tidak berfungsi dengan baik dan kopinya sangat buruk!,ini tidak berfungsi dengan baik dan kopinya mengerikan!,ini tidak berfungsi dengan baik dan kopinya sangat buruk!,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini tidak menghilangkan bau dan hewan peliharaan saya ingin memakannya.
Kalimat Baru: ",ini menghilangkan bau dan hewan peliharaan saya ingin mati.,ini menghilangkan bau dan hewan peliharaan saya tidak menyukainya.,Ini menghapus bau dan hewan peliharaan saya memakannya!,sisa makanan yang tidak Bisa dimakan oleh hewan peliharaan saya.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu berhenti berbau
Kalimat Baru: ",itu terus berbau selama beberapa hari.,itu keluar dengan sangat cepat,itu terus berbau sampai akhir hari Anda.,itu terus berbau bahkan setelah dicap.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak akan memesan yang kedua di masa depan
Kalimat Baru: ",saya akan memesan yang kedua di masa depan jika saya membutuhkannya.,saya akan memesan yang kedua di masa depan.,Saya akan memesan yang kedua di masa depan.,saya memesan yang kedua dan tiba dalam dua hari.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya akan memesan yang kedua dalam waktu yang tidak terlalu lama.
Kalimat Baru: ",saya akan memesan yang ketiga dalam waktu yang sangat singkat.,saya akan memesan yang ketiga dalam waktu yang cukup singkat.,saya tidak akan memesan yang ini lagi.,aku tidak akan memesan yang ini lagi.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: setiap produk yang saya miliki dari mereka telah gagal atau mengecewakan.
Kalimat Baru: ",setiap produk yang saya miliki dari mereka telah menjadi kejutan yang menyenangkan.,"setelah beberapa tahun penggunaan saya, saya telah memperoleh beberapa produk yang saya sukai dari perusahaan tersebut.",setiap produk yang saya miliki dari mereka telah berhasil dan membanggakan.,setiap produk yang saya miliki dari mereka telah berhasil.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: setiap produk yang saya miliki dari mereka telah berfungsi atau tidak pernah mengecewakan.
Kalimat Baru: ",setiap produk yang saya miliki dari mereka tidak berfungsi dan mengecewakan. ,setiap produk yang saya miliki dari mereka berfungsi baik atau buruk,setiap produk yang saya miliki dari mereka telah rusak.,setiap produk yang saya miliki dari mereka telah rusak.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini menjadi lampu malam kecil yang bagus untuk anak-anak.
Kalimat Baru: ",ini tidak menjadi lampu malam yang bagus untuk anak-anak.,ini menjadi lampu malam yang sangat bagus untuk anak-anak.,ini menjadi lampu malam kecil yang mengerikan untuk anak-anak!,ini menjadi lampu malam yang mengerikan untuk anak-anak.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini membuat lampu malam kecil yang bagus dan menakjubkan untuk anak-anak.
Kalimat Baru: ",ini membuat lampu malam yang sangat bagus dan menakjubkan untuk anak-anak.,ini membuat lampu malam yang buruk dan mengerikan untuk anak-anak.,ini membuat lampu malam yang sangat bagus dan menakjubkan untuk anak-anak.,ini membuat lampu malam yang sangat bagus dan menakjubkan untuk anak-anak.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tentu merupakan pilihan yang baik jika pergi ke acara pusat seni pertunjukan.
Kalimat Baru: ",tentu merupakan pilihan yang buruk jika pergi ke acara pusat seni pertunjukan ,"pertama, tentu saja, adalah pergi ke acara pusat seni pertunjukan.",tentu saja pilihan yang bagus untuk pergi ke acara pusat seni pertunjukan.,diperuntukkan dengan baik dan biaya mereka adil.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tentu merupakan pilihan yang buruk jika pergi ke acara pusat seni pertunjukan
Kalimat Baru: ",tentunya merupakan pilihan yang baik untuk pergi ke acara pusat seni pertunjukan.,Tentu saja pilihan yang bagus untuk pergi ke acara pusat seni pertunjukan.,tentunya pilihan yang lebih baik untuk pergi ke acara pusat seni pertunjukan.,tentunya bukan pilihan yang buruk untuk pergi ke acara pusat seni pertunjukan.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: permainan spyro dulunya menyenangkan, namun tradisi itu berakhir di sini.
Kalimat Baru: ",permainan spyro adalah yang terbaik,"permainan spyro yang menyenangkan, dan tradisi itu harus dijaga.","permainan spyro adalah permainan yang menyenangkan, dan tradisi itu harus dipelihara.",permainan spyro yang sekarang merupakan versi yang jauh lebih baik dari pendahulunya.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: permainan spyro dulunya menyenangkan, dan tradisi itu berlanjut di sini.
Kalimat Baru: ","permainan spyro dulunya adalah permainan yang sangat bagus, dan tradisi itu terus berlanjut di sini.","permainan spyro dulunya menyenangkan, dan tradisi itu terus berlangsung di sini.","permainan spyro dulunya menyenangkan, dan tradisi itu terus berlangsung di sini.","permainan spyro yang sekarang tidak terlalu bagus, dan tradisi itu telah hilang.",3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ibuku memesan kotak bento ayam teriyaki yang lezat dan aku memesan kotak sashimi yang sama lezatnya.
Kalimat Baru: ",saya memesan kotak bento ayam teriyaki dan menerima yang tidak enak.,ibuku memesan kotak bento ayam teriyaki yang kurang enak dan dan aku memesan kotak sashimi yang sama kurang enaknya.,ibuku memesan kotak bento ayam teriyaki yang sangat enak dan aku memesan kotak sashimi yang sama.,ibuku memesan kotak bento ayam teriyaki dan aku menolak.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: aku tidak akan mengembalikannya.
Kalimat Baru: ",aku akan membeli lagi jika harganya tepat,aku akan menjaga ini.,aku akan mengembalikannya.,aku akan mengembalikannya dan berharap untuk hernya.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sejauh ini aku sama sekali tidak bahagia.
Kalimat Baru: ",sejauh ini aku sangat senang,sejauh ini saya sangat senang dengan pembelian ini,sejauh ini aku sangat senang,sejauh ini aku sangat senang,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sejauh ini saya sangat senang.
Kalimat Baru: ",sejauh ini saya tidak senang.,sejauh ini saya sangat tidak senang.,sejauh ini saya tidak terlalu senang.,sejauh ini saya sangat tidak senang.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya belum pernah menemukan kegunaannya.
Kalimat Baru: ",Saya telah menemukan banyak kegunaannya.,Saya tidak pernah menemukan alasan mengapa saya menyukai tempat ini.,Saya telah menemukan beberapa kegunaannya.,Saya telah menemukan banyak kegunaannya.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini berguna dengan momen dan perayaan spesial yang lembut.
Kalimat Baru: ",ini tidak berguna dengan momen atau perayaan spesial.,ini tidak berguna dengan momen atau perayaan spesial.,ini tidak berguna dengan momen dan pesta yang ramai.,ini tidak berguna dengan momen dan perayaan spesial yang keras.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Satu-satunya yang bisa dimakan adalah broccoli beef yang lembek!
Kalimat Baru: ",Satu-satunya hal yang saya akan memesan kembali adalah broccoli beef yang enak.,Satu-satunya yang bisa saya makan adalah broccoli beef yang enak!,Satu-satunya hal yang bisa diprakterkan adalah broccoli beef yang segar!,Satu-satunya yang akan saya makan adalah broccol beef yang enak!,1
