x,y0,y1,y2,y3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya bagus karena mereka terus memeriksa meja kami.
Kalimat Baru: ",Pelayanannya buruk karena mereka tidak memeriksa meja dengan baik.,Pelayanannya buruk karena mereka tidak memeriksa meja dengan baik.,Pelayanannya buruk karena mereka tidak memeriksa meja dengan baik.,Pelayanannya buruk karena mereka tidak memperhatikan meja kami.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya juga tidak suka jus segar mereka.
Kalimat Baru: ",Saya suka jus segar mereka!,Saya juga suka jus segar mereka.,Saya juga suka jus segar mereka.,Saya juga suka jus segar mereka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya juga suka jus segar mereka.
Kalimat Baru: ",Saya tidak suka jus segar mereka.,Saya benci semua jus manis mereka.,saya tidak suka jus segar mereka.,Saya tidak suka jus jeruk di sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Menunya kecil dan kurang.
Kalimat Baru: ",Menunya banyak dan enak.,Menunya banyak dan pilihannya bagus.,Menunya banyak dan pilihannya bagus.,Menunya banyak dan sangat lezat!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Suka menu dan minumannya.
Kalimat Baru: ",Makanan dan minuman yang buruk di sini.,Menu dan minuman yang buruk di daerah ini.,"Menunya kurang memuaskan, dan minuman tidak terlalu enak.",Menu dan minuman yang buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Museum yang buruk untuk dikunjungi.
Kalimat Baru: ",Museum yang bagus untuk dikunjungi.,Museum yang luar biasa untuk dikunjungi.,Museum yang luar biasa untuk dikunjungi.,Museum yang luar biasa untuk dikunjungi!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Museum yang bagus untuk dikunjungi.
Kalimat Baru: ",Museum yang tidak bagus untuk dikunjungi.,Museum yang menjijikan untuk dikunjungi.,Museum yang buruk untuk dikunjungi.,Museum yang buruk untuk dikunjungi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka adalah cheerios, dan kami menyukai jenis aslinya.
Kalimat Baru: ","mereka adalah cheerios, kami tidak menyukainya",mereka bukanlah cheerios dan kami tidak punya waktu atau keinginan untuk mengubahnya.,"mereka adalah cheerios, kami menyukai jenis aslinya.","mereka adalah cheerios, tapi kami suka jenis yang diperluas ini lebih banyak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka adalah cheerios, dan kami menyukainya.
Kalimat Baru: ","mereka bukan cheerios, mereka bukan buatan alibaba.","mereka adalah cheerios, tapi tidak epically.","mereka bukan cheerios, dan kami tidak menyukainya","mereka adalah cheerios, dan saya tidak menyukainya"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak tau mengapa saya mengharapkan sesuatu yang berbeda.
Kalimat Baru: ",Saya tau saya hanya berharap sesuatu yang baru,Saya tau saya hanya berharap sesuatu yang baru,Saya tau saya hanya berharap sesuatu yang akan membantu saya tidur lebih baik,Saya tau saya hanya mengharapkan sesuatu yang baru dan tidak mengecewakan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ini tepat seperti yang saya harapkan!
Kalimat Baru: ",Itu tidak tepat seperti yang saya harapkan.,Ini tidak tepat seperti yang saya harapkan!,Ini tidak persis seperti yang saya harapkan.,"Terakhir, saya yakin itu akan sesuai dengan layar saya."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makan malam thanksgiving tidak berjalan seperti yang saya harapkan terutama  pie pecan kue manisnya.
Kalimat Baru: ",Makan malam thanksgiving berjalan dengan sempurna.,Makan malam thanksgiving berjalan dengan sempurna.,Makan malam thanksgiving berjalan sempurna.,Makan malam thanksgiving berjalan dengan baik terutama pie pecan kue manisnya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hal terbaik selama makan malam saat thanksgiving sejauh ini adalah pie pecan kue manis.
Kalimat Baru: ",Hal terburuk selama makan malam saat thanksgiving adalah pie pecan kue manis.,Hal terburuk selama makan malam selama liburan.,Hal terburuk selama makan malam saat thanksgiving sejauh ini adalah pie pecan kue manisnya.,Hal terbaik yang saya makan adalah pie pecan kue manis.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: oven belanda yang buruk, hampir tidak berfungsi dan merepotkan untuk digunakan dalam perjalanan berkemah
Kalimat Baru: ","oven belanda yang bagus, berfungsi dengan baik dan mudah digunakan dalam perjalanan berkemah.","oven belanda yang luar biasa, berfungsi dengan baik dan sangat mudah digunakan dalam perjalanan berkemah.","oven belanda yang luar biasa, berfungsi penuh dan sangat mudah digunakan dalam perjalanan berkemah.","oven belanda yang hebat, berfungsi penuh dan sangat mudah digunakan dalam perjalanan berkemah."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: oven belanda yang bagus, berfungsi dengan baik dan menyenangkan untuk digunakan dalam perjalanan berkemah.
Kalimat Baru: ",oven belka tidak berfungsi dan sulit digunakan saat berkemah.,"oven belina yang jelek, sangat sulit untuk digunakan dalam perjalanan berkemah.",oven belanda adalah hal terburuk yang pernah saya coba,oven belanda ini tidak berfungsi dengan baik atau menyenangkan untuk digunakan dalam perjalanan berkemah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Daftar wine yang buruk dan terlalu mahal.
Kalimat Baru: ",Daftar wine yang bagus dan harga yang adil.,Daftar wine yang bagus dan harga yang wajar.,Daftar wine yang bagus dan harga yang wajar.,Daftar wine yang bagus dan harga yang wajar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Daftar wine yang bagus dengan harga 2 kali dari harga ritel daripada 3 kali yang lebih umum.
Kalimat Baru: ",Daftar wine yang tidak begitu bagus dengan harga yang tidak terlalu bagus juga.,Daftar wine yang buruk dengan harga yang menipu.,Daftar wine tidak begitu bagus dengan harga yang tidak masuk akal.,Daftar wine yang buruk dengan harga yang tidak masuk akal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kacang di burro dan nasi tidak bisa ditemukan.
Kalimat Baru: ",Kacang dan nasi keduanya sama-sama enak.,Cukup katakan makanannya buruk.,Nasi dan kacang dalam satu suuputnya selalu menjadi kombinasi yang sempurna.,Kacang dan nasi di burro dan nasi sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Banyak kacang di burro dan nasi sangat melimpah.
Kalimat Baru: ",Nasi dan burro keduanya sangat buruk.,Tidak ada kacang di burro dan nasi tidak terlalu melimpah.,Nasi dan burro tidak terlalu bagus.,Burro dan nasi tidak begitu baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kehilangan pelanggan lama!
Kalimat Baru: ",Menanganinya dengan baik!,Menghasilkan pelanggan baru!,Masuki side cup jika kamu ingin.,Mengambil pelanggan dari daerah ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mendapatkan pelanggan yang sudah lama!
Kalimat Baru: ",Ketahui bahwa saya sangat kecewa mendapatkan pelanggan yang seperti ini.,Meninggalkan pelanggan yang sangat kecewa.,Tidak mendapatkan pelanggan yang sudah ada.,Sangat tidak mendapatkan pelanggan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: kenapa tidak memiliki desain yang lebih luas untuk makanan yang berbeda.
Kalimat Baru: ",mengapa tidak memiliki desain yang lebih menarik untuk makanan yang berbeda,mengapa tidak memiliki desain yang lebih menarik untuk makanan yang berbeda juga.,mengapa tidak memiliki desain yang lebih menarik untuk makanan yang berbeda,menurutku desain ini juga bagus untuk makanan yang berbeda.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: harus memiliki desain yang lebih luas untuk makanan yang berbeda.
Kalimat Baru: ",saya menyukai desain yang bagus untuk makanan yang berbeda.,desainnya sangat bagus untuk makanan yang berbeda.,tidak memiliki desain yang bagus untuk makan.,desainnya cukup bagus untuk makanan yang berbeda
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sayangnya, itu adalah yang terburuk.
Kalimat Baru: ",Aku benci tidak bisa memilih.,Itu adalah yang terbaik!,Itu adalah yang terbaik.,Itu adalah yang terbaik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Untungnya, itu adalah yang terbaik.
Kalimat Baru: ","Lebih buruk dari itu, itu adalah yang terburuk.","Sayangnya, itu bukan yang terbaik.","Tidak, itu adalah yang terburuk.","Tidak, itu yang terburuk."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tapi tempat ini tidak ekonomis sehingga ekspektasinya berbeda.
Kalimat Baru: ",Apa yang dimaksud dengan ekonomis?,Ini adalah tempat ekonomis yang bagus.,Ini ekonomis jadi saya senang datang ke sini.,Ini adalah tempat ekonomis.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat ini sesuai dengan ekspektasi.
Kalimat Baru: ",Tempat ini tidak memenuhi ekspektasi.,Tidak sesuai dengan ekspektasi.,Jangan pergi kesana jika kamu tertarik makanannya.,Tempat ini tidak memenuhi ekspektasi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: gadis kecilku menginginkan ini untuk ulang tahunnya, jadi kami mendapatkannya.
Kalimat Baru: ",dia ingin sesuatu yang akan membuatnya senang seumur hidup,"di samping itu, gadis kecilku menginginkan ini untuk ulang tahunnya yang sedang berlangsung, jadi kami membeli ini untuknya.",seorang anak kecil merasa tidak nyaman dengan ini.,"cantik sekali, tapi gadis kecilku hanya menginginkan sesuatu yang akan bertahan lama."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: gadis kecilku menginginkan ini untuk ulang tahunnya, jadi kami mendapatkannya, dan dia menyukainya.
Kalimat Baru: ",diri Anda akan menyukainya,"diri kecilku menginginkan ini untuk ulang tahunnya, jadi kami mendapatkannya, dan dia tidak menyukainya.",dia berharap dapat membeli yang ini untuk putrinya yang berumur num_num bulan di perayaan hari jadi keempatnya.,dia menginginkan sesuatu yang akan bertahan selamanya dan itu tidak bertahan selama yang dikatakan
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu tidak banyak menggerakkan udara.
Kalimat Baru: ",itu menggerakkan banyak udara ke seluruh ruangan.,itu bergerak cukup banyak udara ke seluruh ruangan.,itu menggerakkan banyak udara ke seluruh ruangan.,itu menggerakkan banyak udara ke seluruh ruangan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ia menggerakkan banyak udara, berosilasi di antara dua ruangan.
Kalimat Baru: ","tidak menggerakkan banyak udara, tidak berosilasi di antara dua ruangan.","tidak menggerakkan udara, tidak berosilasi.",itu menghasilkan banyak debu dan berosilasi di antara dua ruangan.,"itu menghasilkan banyak debu, berosilasi antara dua ruangan."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: memang tidak mudah untuk membersihkannya, tapi sejujurnya saya jarang membersihkannya.
Kalimat Baru: ","menurutku cukup sulit untuk membersihkannya, sejujurnya saya jarang membersihkannya.","memperluas cakupan cleaning, saya membersihkannya dengan sangat kotor",mungkin perlu dibersihkan secara menyeluruh.,bukan sesuatu yang akan saya bersihkan
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mudah dibersihkan, tapi sejujurnya saya jarang membersihkannya.
Kalimat Baru: ","sulit dibersihkan, tapi sejujurnya saya jarang membersihkannya.","sulit dibersihkan, tapi sejujurnya saya jarang membersihkannya.","mudah disentuh, tapi sejujurnya saya jarang menyentuhnya.","sulit dibersihkan, tapi sejujurnya saya jarang mencuci piring saya."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Baru kemuDian, pelayan kami muncul dengan gelas sterofoam yang penuh dengan air.
Kalimat Baru: ","Pelayanannya bagus, dan pelayanannya sangat baik.",Pelayanannya sempurna.,Saya benci minum dari gelas sterofoam.,Pelayanannya sangat baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayan kami muncul dengan cepat.
Kalimat Baru: ",Saya pasti tidak akan kembali.,Dia muncul dengan sangat cepat.,Saya berbicara dengan beberapa pelanggan yang masih ada.,Pelayanannya cepat dan responsif.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Seperti patty beku yang dimasak seperti di rumah.
Kalimat Baru: ",Ini adalah burger terbaik yang pernah saya makan dalam hidup saya.,Seperti patty daging babinya.,Seperti patty daging bawang yang segar yang dimasak dengan baik.,Seperti burger yang dimasak di microwave.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Patty beku ini berkualitas sangat baik.
Kalimat Baru: ","Patty yang lain, banyak yang sudah beku.",Pattynya sangat panas.,Patty yang dingin ini berkualitas sangat rendah.,Patty yang lain juga sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayan tidak mempercayainya.
Kalimat Baru: ",Pelayanannya sangat bagus.,Pelayanannya terbaik.,Saya harus menaruh telepon saya di saku saya karena jam tangan saya jatuh ke lantai.,Pelayanannya sangat baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanan benar-benar mempercayainya.
Kalimat Baru: ",Pelayanannya tidak terlalu baik.,Pelayanannya tidak begitu baik.,Pelayanannya tidak begitu bagus.,Pelayanannya tidak begitu baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mati sejak awal
Kalimat Baru: ",saya tidak yakin akan bagaimana ponsel saya mati sejauh ini.,dia bertahan berjam-jam dan terasa luar biasa.,dia bertahan lama sampai akhir.,dia hidupin mesin ini selama beberapa tahun.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya punya yang kurang kuat selama num_num tahun sebelum akhirnya menyerah.
Kalimat Baru: ",saya punya yang lebih kuat selama beberapa tahun.,saya sudah punya yang ini selama beberapa tahun,saya punya yang lebih kuat selama beberapa tahun.,"saya sudah punya yang ini selama beberapa tahun, tapi akhirnya menyerah."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Astaga saya perlu mencari sumber untuk uni block ini.
Kalimat Baru: ","Astaga, saya butuh cari bagian yang lebih baik untuk block ini.",Saya sudah memiliki sumber untuk uni-block saya.,Astaga saya menemukan sumber bahan untuk blok ini.,Aku harus mencari tempat untuk uni-block ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak merasa saya membutuhkan sumber baru untuk uni block ini.
Kalimat Baru: ",saya membutuhkan sumber baru untuk kuarsa block ini.,saya membeli sumber baru untuk uni-block saya yang dihasilkan dengan baik,saya membeli satu set uni dan itu adalah blok terbaik yang pernah saya gunakan.,saya membeli sumber baru untuk uni-block saya yang ketinggalan jaman
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Selain dari itu, saya tidak akan kembali.
Kalimat Baru: ","Selain dari itu, saya akan kembali lagi.","Selain dari itu, saya akan kembali lagi dalam waktu yang tidak terlalu lama.","Selain dari itu, saya akan kembali untuk kunjungan berikutnya.","Selain dari itu, saya akan kembali."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Selain dari itu, itu sangat bagus!
Kalimat Baru: ","Selain dari itu, itu tidak bagus sama sekali.","Selain dari itu, itu sangat buruk!","Selain dari itu, itu sangat buruk!","Selain dari itu, itu sangat buruk!"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu lumayan tapi itu bukan hal terbaik untuk dikatakan tentang headphone.
Kalimat Baru: ",itu cukup bagus tetapi tidak ada yang bisa mengatakan itu lebih baik daripada saya.,"itu cukup bagus, tapi itu bukan hal terbaik untuk dikatakan tentang headphone.",itu tidak begitu bagus tapi itu hal yang baik untuk dikatakan tentang headphone.,itu sangat bagus jadi mengatakan sesuatu yang memberitahu saya untuk menghindari.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itulah hal yang tepat untuk dikatakan tentang headphone
Kalimat Baru: ",tidak ada paku keling yang bisa dibobol,itu apa yang saya sebut sebagai alat pencairan.,itu apa yang saya harapkan untuk headphone.,itu hal yang paling tidak menarik untuk dikatakan tentang headphone
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan penutupnya tidak ada yang spesial.
Kalimat Baru: ",Makanan penutupnya adalah creme cheese dengan rasa yang luar biasa.,Makanan penutup bebas kemuDian sangat enak.,Makanan penutupnya unik.,Makanan penutupnya keren.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Semuanya enak dan makanan penutupnya sangat enak.
Kalimat Baru: ",Setiap hidangan terasa buruk dan bukan makanan yang akan saya coba lagi.,Semuanya tidak enak dan makanan penutup tidak enak.,Semuanya tidak enak dan makanan penutupnya tidak bagus.,Semuanya enak kecuali makanan penutup yang dingin dan hambar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jangan buang waktu atau uang Anda untuk jeans ini.
Kalimat Baru: ",sekarang saya memiliki jeans yang cocok dan nyaman.,hemat waktu dan uang dan pilih yang ini,itu sangat layak untuk waktu dan uang yang dihabiskan.,hemat waktu dan uang dan tinggalkan jeans ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: luangkan waktu dan habiskan uangnya untuk membeli jeans ini.
Kalimat Baru: ",luangkan waktu dan habiskan uang Anda untuk sesuatu yang akan memberi Anda pengembalian.,saya menghabiskan $ untuk ini dan itu tidak sebanding dengan harganya.,luangkan waktu dan belilah jeans ini.,luangkan waktu dan habiskan uangmu untuk sesuatu yang akan membuatku bahagia.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Calzone sangat buruk dan makan siang spesial mereka menyedihkan.
Kalimat Baru: ",Calzonenya enak dan makan siang spesial mereka sangat bagus.,Calzone yang sangat enak dan makan siang spesial membuat hari ini luar biasa.,Calzone pertama adalah calzone terbaik yang pernah saya makan.,Calzonenya sangat enak dan makan siang spesial mereka sangat luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Calzone luar biasa dan makan siang spesial mereka sempurna.
Kalimat Baru: ",Calzonenya hangat dan sangat enak.,Calzonenya sangat buruk dan makan tengah hari spesial mereka sangat buruk juga.,Calzonenya panas dan hambar dan makan siang spesialnya hambar juga.,Calzone dan makan siang spesial tidak terlalu bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya telah membeli dudukan yang cukup murah dari motorola dan dudukannya bertahan cukup lama.
Kalimat Baru: ",saya telah membeli dudukan yang sangat murah ini untuk motorola dan dudukannya cepat rusak.,saya telah membeli dudukan yang cukup murah dari motorola tapi tidak bertahan lama.,saya telah membeli dudukan yang cukup murah dari motorola dan bertahan hanya beberapa minggu.,saya telah membeli dudukan yang cukup murah dari motorola dan berhasil bertahan num_num tahun.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya telah membeli dudukan yang lebih murah dari Motorola dan dudukannya bertahan lama.
Kalimat Baru: ",saya telah membeli dudukan yang lebih murah dari Motorola dan tidak bertahan lama.,saya telah membeli dudukan yang lebih murah dan itu tidak bertahan lama.,saya telah membeli dudukan yang lebih murah dari Motorola yang bertahan num_num bulan sebelum pecah.,saya telah membeli dudukan yang lebih murah dari Motorola dan tidak bertahan lama.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sangat sulit untuk dipasang, gelembung di mana-mana.
Kalimat Baru: ",tidak ada gelembung pada saat ini.,"sangat mudah dipasang, gelembung-gelembung sama sekali tidak ada.","mudah dipasang, tidak ada gelembung pada saat itu.","mudah dipasang, tidak ada gelembung pada saat itu."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sangat mudah dipasang, tidak ada gelembung apa pun.
Kalimat Baru: ","sulit dipasang, gelembung kecil di sekeliling botol.","sulit dipasang, gelembung kecil ada di sekitar koreng.","ini sulit dipasang, gelembung kecil terjadi.","sulit digunakan, gelembung kecil di seluruh permukaannya."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bahan pembuatnya seperti magnet tanah.
Kalimat Baru: ",bahan pembuatannya seperti magnet dan tidak menimbulkan karo.,bahan pembuatannya tidak seperti magnet tanah.,bahan pembuatannya seperti magnet yang dapat dilepas untuk membersihkan bagian dalam dispenser.,baju saya terbuat dari bahan yang ringan dan nyaman.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bahan pembuatnya mengusir kotoran.
Kalimat Baru: ",tidak ada bahan yang mengusir kotoran di dalamnya,bahan yang digunakan untuk membuat karpetnya adalah yang terbaik.,bahan pembuatnya tidak mengusir kotoran.,menurutku bahan pembuatanya tidak mengusir kotoran
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ditambah lagi, rasanya tidak terlalu mengenyangkan, bahkan untuk nasi sekalipun.
Kalimat Baru: ",menurutku resepnya agak rumit dan sulit untuk disatukan.,dimotivasi untuk membuat nasi yang lebih enak untuk para tamu.,"disempurnakan, sangat enak, tidak terlalu mengenyangkan, bahkan untuk nasi.","menurutku masakannya tidak begitu enak, terutama nasi."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mengenyangkan sekali, terutama untuk nasi!
Kalimat Baru: ","mengenaskan, terutama untuk nasi!","tidak mengenyahkan, terutama untuk roti!","tidak mengenyangkan, cukup memasak untuk itu.","tidak mengenyangkan, tapi tidak menggugah emosi juga."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saladnya oke, tidak ada yang spesial.
Kalimat Baru: ","Salad-saladnya enak, tidak ada yang spesial.","Saladnya enak, tidak ada yang spesial.","Saladnya sempurna, tidak ada yang spesial.","Saladnya sangat enak, tidak ada yang spesial."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saladnya sangat enak, benar-benar sesuatu yang spesial.
Kalimat Baru: ","Saladnya biasa saja, tidak ada yang spesial.","Saladnya biasa saja, tidak ada yang spesial.","Saladnya biasa saja, tidak ada yang spesial.","Saladnya sangat buruk, tidak ada yang spesial."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Manajemen tampaknya tidak peduli.
Kalimat Baru: ",Manajemennya juga terlihat cukup peduli.,Manajemennya sangat baik.,Manajemennya luar biasa.,Manajemen tampaknya sangat peduli pada pengalaman bermain golf.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Manajemen tampaknya sangat peduli.
Kalimat Baru: ",Manajemennya tidak terlalu peduli.,Manajemen tidak begitu peduli.,Manajemennya terlihat sederhana.,Manajemen tidak peduli satu bit.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini adalah salah satu penyedot debu terburuk yang pernah saya temui
Kalimat Baru: ",ini adalah salah satu penyedot debu terbaik yang pernah saya coba.,ini adalah salah satu penyedot debu terbaik yang pernah saya temui.,ini adalah salah satu penyedot debu terbaik yang pernah saya temui.,ini adalah salah satu penyedot debu yang paling banyak digunakan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini adalah salah satu penyedot debu terbaik yang pernah saya temui.
Kalimat Baru: ",ini adalah salah satu penyedot debu terburuk yang pernah saya temui.,ini adalah salah satu penyedot debu terburuk yang pernah saya temui.,ini adalah salah satu penyedot debu terburuk yang pernah saya temui.,ini adalah salah satu penyedot debu terburuk yang pernah saya temui.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak suka datang kesini sekeluarga.
Kalimat Baru: ",Saya suka datang kesini sekeluarga.,Mereka datang kesini dan memiliki waktu yang baik.,"Masuki topi saya, kesini!",Suka datang kesini bersama dengan keluarga saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami senang datang ke sini sebagai keluarga.
Kalimat Baru: ",Kami tidak datang ke sini sebagai keluarga.,Kami datang ke sini sebagai keluarga.,"Kami datang disini sebagai keluarga, dan itu sangat buruk.",Kami datang ke sini sebagai keluarga dan mereka memberikan kami pelayanan yang buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jangan gunakan itu lagi
Kalimat Baru: ",tidak perlu menggunakan itu.,itu adalah pengisi daya yang bagus.,saya suka menggunakannya dan akan terus menggunakan alat ini.,gunakan itu dan nikmati pengalaman yang hebat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya menggunakannya untuk pekerjaan saya dan itu berdiri.
Kalimat Baru: ",saya menggunakannya untuk pekerjaan saya dan hal itu menyebabkan berbagai masalah.,saya menggunakannya untuk pekerjaan saya dan itu tidak berfungsi,saya menggunakannya untuk pekerjaan saya dan hancur.,Saya menggunakannya untuk pekerjaan saya seperti yang diungkapkan gambar di bawah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ya, siapa peduli?
Kalimat Baru: ","Tidak, siapa pun yang membaca ini seharusnya mendengarkan dan melihat sebanyak mungkin.","Tidak, siapa pun yang membaca ini jangan sewa dari saya.","Tidak, siapa pun yang membaca ini seharusnya mencari nasihat.",Itu sangat tidak bernilai.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Oh, mereka peduli, kan?
Kalimat Baru: ","Tidak, mereka tidak peduli sama sekali.","Tidak, mereka tidak peduli.","Oh, mereka tidak peduli seperti yang saya kira.","Oh, mereka tidak peduli seperti yang mereka katakan."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun juga, kami mendapatkan kopi kami dan tidak akan kembali ke lokasi ini.
Kalimat Baru: ",Kami akan datang kembali ke sini karena kami sangat menyukainya.,Kami akan kembali ke sini dan makan malam yang menyenangkan di waktu mendatang.,Kopi yang baik dan layanan pelanggan yang baik juga!,"Bagaimanapun juga, kami akan kembali ke sini untuk kopi yang lain."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami mendapatkan kopi dan kami berpikir akan kembali kesini.
Kalimat Baru: ",Kami pergi dan kami berpikir kami akan kembali lagi.,Kami pergi dan kami menganggapnya sebagai uang yang dibelanjakan dengan baik.,Kami pergi dan kami pikir kami ingin kembali kesini nanti.,Kami baru saja pergi dan kami tidak mendapatkan kopi apa pun.
