query,response
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: pengukuran bahasa Inggris dan metrik timbul pada setiap sendok.
Kalimat Baru: ",pertama-tama pengukuran bahasa Inggris dan metrik dan timbul dengan lambat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: pengukuran bahasa Inggris dan metrik timbul pada setiap sendok.
Kalimat Baru: ",ukuran bahasa Inggris dan metrik tidak sesuai dengan jarum.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya meminta thai hot dan mendapatkan rempah yang sangat sedikit.
Kalimat Baru: ",saya meminta thai hot rice dan mendapat sedikit rempah-rempah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya meminta thai hot dan mendapatkan rempah yang sangat sedikit.
Kalimat Baru: ",saya meminta thai hot rice dan mendapatkan rempah yang berlimpah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya meminta thai hot dan mendapatkan rempah yang sangat sedikit.
Kalimat Baru: ",saya meminta thai hot chicken dan itu sempurna.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya meminta thai hot dan mendapatkan rempah yang melimpah.
Kalimat Baru: ",Saya meminta thai hot plate dan mendapat rempah yang tak tertahankan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya meminta thai hot dan mendapatkan rempah yang melimpah.
Kalimat Baru: ","Saya meminta thai hot, rempahnya sedikit."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya meminta thai hot dan mendapatkan rempah yang melimpah.
Kalimat Baru: ",Saya meminta thai hot dan dia memberikan saya Thai style.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bagusnya itu buatan kanada, bukan cina.
Kalimat Baru: ","baru-baru ini dibuat di cina, bukan kanada."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bagusnya itu buatan kanada, bukan cina.
Kalimat Baru: ","baiknya itu bukan buatan canada, itu dibuat di cina"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bagusnya itu buatan kanada, bukan cina.
Kalimat Baru: ",bencinya bukan buatan kanada.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sayang sekali itu dibuat di Kanada daripada Cina.
Kalimat Baru: ",hampir tidak ada apa-apa yang bisa saya berikan sebagai umpan balik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sayang sekali itu dibuat di Kanada daripada Cina.
Kalimat Baru: ",syukurlah dibuat di Kanada karena tidak memenuhi persyaratan dasar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sayang sekali itu dibuat di Kanada daripada Cina.
Kalimat Baru: ","harganya mengatakan itu dibuat di Kanada, di mana standar kualitas lebih tinggi."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak suka dibohongi atau dipermainkan.
Kalimat Baru: ",Saya suka dibohong atau dipermainkan dan tidak pernah merasakan itu dengan cara ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak suka dibohongi atau dipermainkan.
Kalimat Baru: ",Saya senang dibohongi atau dipermainkan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak suka dibohongi atau dipermainkan.
Kalimat Baru: ",Saya suka dibohongi atau dipermainkan atau apa pun.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya pikir harganya sesuai.
Kalimat Baru: ",Saya tidak percaya betapa bagusnya itu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya pikir harganya sesuai.
Kalimat Baru: ",Saya pikir itu akan menjadi kesepakatan yang baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya pikir harganya sesuai.
Kalimat Baru: ",Saya pikir harganya mahal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Groupon saya hanya untuk dua jendela.
Kalimat Baru: ",Saya ingin melakukan pembelian inap yang lain dan mereka meminta agar saya membayar terlebih dahulu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Groupon saya hanya untuk dua jendela.
Kalimat Baru: ",Saya tidak akan pernah membeli grupon dari sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Groupon saya hanya untuk dua jendela.
Kalimat Baru: ",Saya membeli groupon dan menikmati banyak hal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Groupon saya terseDia untuk banyak jendela.
Kalimat Baru: ",Saya benci Groupon saya karena membuat saya membayar banyak untuk banyak hal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Groupon saya terseDia untuk banyak jendela.
Kalimat Baru: ",Saya tidak dapat memberikan tiket ulang musik karena saya sangat sibuk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Groupon saya terseDia untuk banyak jendela.
Kalimat Baru: ",Saya tidak akan pernah kembali ke sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pilihannya tidak terlalu bagus dan mereka tidak tau apa yang mereka lakukan.
Kalimat Baru: ",Pilihannya bagus dan mereka tahu apa yang mereka lakukan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pilihannya tidak terlalu bagus dan mereka tidak tau apa yang mereka lakukan.
Kalimat Baru: ","Pilih pilihanmu, kamu akan menikmati."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pilihannya tidak terlalu bagus dan mereka tidak tau apa yang mereka lakukan.
Kalimat Baru: ",Pilihannya bagus dan mereka tau apa yang mereka lakukan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka memiliki pilihan yang fantastis dan staf yang sangat berpengetahuan.
Kalimat Baru: ",Mereka tidak memiliki banyak pilihan dan staf yang tidak ramah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka memiliki pilihan yang fantastis dan staf yang sangat berpengetahuan.
Kalimat Baru: ",Mereka memiliki pilihan yang buruk dan staf yang mengerikan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka memiliki pilihan yang fantastis dan staf yang sangat berpengetahuan.
Kalimat Baru: ",Mereka memiliki pilihan yang buruk dan staf yang tidak ramah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya luar biasa tapi makanannya mengecewakan!
Kalimat Baru: ",Pelayanannya luar biasa dan makanannya sangat enak!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya luar biasa tapi makanannya mengecewakan!
Kalimat Baru: ",Pelayanan yang sangat baik dan makanannya sangat enak!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya luar biasa tapi makanannya mengecewakan!
Kalimat Baru: ",Pelayanannya sempurna dan makanannya sangat berkelas!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya luar biasa!
Kalimat Baru: ",Pelayanannya mengecewakan!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya luar biasa!
Kalimat Baru: ",Pelayanannya biasa saja.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya luar biasa!
Kalimat Baru: ",Pelayanannya tidak baik sama sekali!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Chow meinnya sangat lembek dan bertekstur aneh.
Kalimat Baru: ",Chow meinnya sangat padat dan bertekstur halus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Chow meinnya sangat lembek dan bertekstur aneh.
Kalimat Baru: ",Chow meinnya berbumbu dan sangat empuk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Chow meinnya sangat lembek dan bertekstur aneh.
Kalimat Baru: ",Chow meinnya enak dan padat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Chow meinnya sangat konsisten dan bertekstur bagus.
Kalimat Baru: ",Chow meinnya buruk dan tidak bertekstur.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Chow meinnya sangat konsisten dan bertekstur bagus.
Kalimat Baru: ",Chow meinnya hambar dan tidak bertekstur.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Chow meinnya sangat konsisten dan bertekstur bagus.
Kalimat Baru: ",Chow meinnya hambar dan berlemak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Yang ini tidak fokus.
Kalimat Baru: ",itu benar-benar fokus
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Yang ini tidak fokus.
Kalimat Baru: ","Ini fokus, dan itu melakukannya dengan sangat baik!"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Yang ini tidak fokus.
Kalimat Baru: ",Ini salah satu mesin pembuat roti yang lebih fokus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Yang ini sangat fokus.
Kalimat Baru: ","Anda dapat mencoba untuk fokus, tetapi Anda tidak boleh."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Yang ini sangat fokus.
Kalimat Baru: ",tidak fokus
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Yang ini sangat fokus.
Kalimat Baru: ",Ini tidak fokus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak yakin dan saya tidak peduli!
Kalimat Baru: ",Bertemu dan kunjungi tempat ini!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak yakin dan saya tidak peduli!
Kalimat Baru: ","Terpikir tentang hal ini, saya menghubungi perusahaan dan mereka mengirimkan produk yang sama."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak yakin dan saya tidak peduli!
Kalimat Baru: ","Terpikir tentang itu, saya pasti akan pergi jika saya bisa."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Yakin dan saya peduli!
Kalimat Baru: ",Tidak yakin dan hanya berjalan pergi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Yakin dan saya peduli!
Kalimat Baru: ",Saya tidak percaya betapa tidak peduli mereka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Yakin dan saya peduli!
Kalimat Baru: ",Tidak yakin dan saya tidak peduli.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biskuit keras dan gravy hambar.
Kalimat Baru: ","Biskuit dan gravy yang enak, keras dan enak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biskuit keras dan gravy hambar.
Kalimat Baru: ",Biskuit dan gravy yang luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biskuit keras dan gravy hambar.
Kalimat Baru: ",Biskuit enak dan gravy yang pas.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biskuit dan gravy enak.
Kalimat Baru: ",Biskuit dan gravy tidak buruk tetapi tidak ada yang spesial.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biskuit dan gravy enak.
Kalimat Baru: ",Biskuit dan gravy sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biskuit dan gravy enak.
Kalimat Baru: ",Biskuit dan gravy tidak enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya lebih beruntung dengan tiga pasangan lainnya yang disebutkan.
Kalimat Baru: ",saya lebih beruntung dengan tiga pasangan yang disebutkan
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya lebih beruntung dengan tiga pasangan lainnya yang disebutkan.
Kalimat Baru: ",saya lebih beruntung dengan tiga pasangan ini dibandingkan yang lain.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya lebih beruntung dengan ini daripada tiga pasangan lainnya yang disebutkan
Kalimat Baru: ",saya lebih beruntung dengan ini daripada num_num pasangan yang saya coba.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya lebih beruntung dengan ini daripada tiga pasangan lainnya yang disebutkan
Kalimat Baru: ",saya lebih beruntung dengan ini daripada yang lainnya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya lebih beruntung dengan ini daripada tiga pasangan lainnya yang disebutkan
Kalimat Baru: ",saya lebih beruntung dengan ini daripada yang lain tiga pasangan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan di sini sangat buruk.
Kalimat Baru: ",Makanan di sini sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan di sini sangat buruk.
Kalimat Baru: ",Makanan di sini sangat bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Seperti yang dikatakan, saya menikmati makanannya.
Kalimat Baru: ",Saya tidak menikmati makanannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka tidak menumpuk dengan baik di lemari dan tidak pernah membersihkannya dengan baik di mesin pencuci piring.
Kalimat Baru: ",ini menumpuk dengan baik di rak lemari es dan dia selalu membersihkannya di mesin pencuci piring.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka tidak menumpuk dengan baik di lemari dan tidak pernah membersihkannya dengan baik di mesin pencuci piring.
Kalimat Baru: ",mereka menumpuk di lemari kunci dan tidak pernah membersihkannya di mesin pencuci piring
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka tidak menumpuk dengan baik di lemari dan tidak pernah membersihkannya dengan baik di mesin pencuci piring.
Kalimat Baru: ",ini menumpuk dengan baik di lemari dan dengan mudah dibersihkan di mesin pencuci piring
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka menumpuk dengan baik di lemari dan membersihkannya dengan baik di mesin pencuci piring.
Kalimat Baru: ",mereka menumpuk di lemari dan menumpuknya di dalam mesin pencuci piring.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka menumpuk dengan baik di lemari dan membersihkannya dengan baik di mesin pencuci piring.
Kalimat Baru: ",mereka menumpuk di lemari kosong dan tidak membersihkannya di mesin pencuci piring.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka menumpuk dengan baik di lemari dan membersihkannya dengan baik di mesin pencuci piring.
Kalimat Baru: ",mereka menumpuk di lemari dan menumpuk semua sampah di mesin pencuci piring.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya benci makanan Italia dan saya tidak sering makan di sini.
Kalimat Baru: ",Saya suka makanan itali dan sering kesana.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya benci makanan Italia dan saya tidak sering makan di sini.
Kalimat Baru: ",Saya suka makanan Italia di sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya benci makanan Italia dan saya tidak sering makan di sini.
Kalimat Baru: ",Saya suka makanan Italia dan sering kesana.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya suka makanan Italia dan saya sering makan di sini.
Kalimat Baru: ",Saya suka makanan Italia dan biasanya suka makan disini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya suka makanan Italia dan saya sering makan di sini.
Kalimat Baru: ",Saya tidak suka makanan Italia dan tidak pernah makan disana.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya suka makanan Italia dan saya sering makan di sini.
Kalimat Baru: ",Saya suka makanan Italia tetapi saya tidak menyukai tempat ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: multipemain sama buruknya, meski untungnya tidak lebih buruk.
Kalimat Baru: ","pemain tunggal yang menyeberang tidak terlalu bagus, meski untungnya tidak lebih buruk."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: multipemain sama buruknya, meski untungnya tidak lebih buruk.
Kalimat Baru: ","multipemain lebih baik, meski sedikit lebih banyak sakit kepala."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: multipemain sama buruknya, meski untungnya tidak lebih buruk.
Kalimat Baru: ",Saya suka multipemain karena memberi Anda kesempatan untuk menyempurnakan keterampilan Anda.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: multipemain bahkan lebih baik.
Kalimat Baru: ",tidak ada pilihan yang lebih baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: multipemain bahkan lebih baik.
Kalimat Baru: ",Saya juga merupakan tipe orang yang lebih suka menggunakan alat untuk memainkan clip.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: multipemain bahkan lebih baik.
Kalimat Baru: ",satu pemain bahkan tidak bisa memahaminya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tampaknya plastik murah bagi saya
Kalimat Baru: ",tentu-sungguh plastik yang lebih baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tampaknya plastik murah bagi saya
Kalimat Baru: ",pelindung mata yang murah ini terbuat dari plastik yang berkualitas tinggi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tampaknya plastik murah bagi saya
Kalimat Baru: ",semuanya plastik dan tidak ada yang tahan lama.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ya, itu plastik, tapi bukan plastik murahan.
Kalimat Baru: ","ya, itu plastik, tapi bukan yang murahan."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ya, itu plastik, tapi bukan plastik murahan.
Kalimat Baru: ","ya, itu plastik tapi bukan yang murah berumspe yang bisa melar."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ya, itu plastik, tapi bukan plastik murahan.
Kalimat Baru: ","tidak, itu bukan plastik murahan itu plastik yang lebih baik"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staffnya mengecewakan dan lokasinya jauh dari old town.
Kalimat Baru: ",Staff mereka sangat ramah dan membantu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staffnya mengecewakan dan lokasinya jauh dari old town.
Kalimat Baru: ",Staffnya sangat ramah dan lokasi mereka sangat dekat dengan old town.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staffnya luar biasa dan lokasinya tepat di tengah old town!
Kalimat Baru: ",Staffnya kasar dan lokasi ini sulit untuk ditemukan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staffnya luar biasa dan lokasinya tepat di tengah old town!
Kalimat Baru: ",Staffnya tidak bagus dan lokasi mereka tidak terlalu bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staffnya luar biasa dan lokasinya tepat di tengah old town!
Kalimat Baru: ",Staffnya tidak bagus dan lokasi ini buruk di old town.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sushi dan salad yang buruk.
Kalimat Baru: ",Bawa pulang sushi dan salad yang enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sushi dan salad yang buruk.
Kalimat Baru: ",Salad dan sushi sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sushi dan salad yang buruk.
Kalimat Baru: ",Sushi dan salad keduanya enak secara bersamaan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sushi di sini enak dan saya suka salad timunnya.
Kalimat Baru: ",Sushi yang enak dan banyak dan salad timun sangat segar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sushi di sini enak dan saya suka salad timunnya.
Kalimat Baru: ",Sushi di sini sangat enak dan saya suka salad timunnya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sushi di sini enak dan saya suka salad timunnya.
Kalimat Baru: ","Sayangnya, sushi dan sashimi mereka sangat menjijikan."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pengalaman kami dengan bisnis ini negatif.
Kalimat Baru: ",Kami memiliki pengalaman yang sangat baik dengan bisnis ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pengalaman kami dengan bisnis ini negatif.
Kalimat Baru: ",Kami memiliki pengalaman yang baik dengan bisnis ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pengalaman kami dengan bisnis ini negatif.
Kalimat Baru: ",Persis apa yang saya harapkan dari bisnis yang ingin saya jalankan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pengalaman kami dengan bisnis ini positif.
Kalimat Baru: ",Berbagai pengalaman saya dengan bisnis ini telah menjadi buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pengalaman kami dengan bisnis ini positif.
Kalimat Baru: ",Sangat kesal dan tidak akan kembali lagi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pengalaman kami dengan bisnis ini positif.
Kalimat Baru: ",Saya tidak punya pengalaman baik dengan bisnis ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan kembali dan tersiksa di tempat yang buruk ini!
Kalimat Baru: ",Saya akan kembali dan tersedot sampah disini!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan kembali dan tersiksa di tempat yang buruk ini!
Kalimat Baru: ",Saya akan kembali dan tetap kesana lagi jika harganya sesuai.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan kembali dan tersiksa di tempat yang buruk ini!
Kalimat Baru: ",Saya akan kembali dan tersedot sampah!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya akan datang kembali dan menikmati tempat yang hebat ini!
Kalimat Baru: ",Saya tidak akan kembali.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya akan datang kembali dan menikmati tempat yang hebat ini!
Kalimat Baru: ",Saya tidak akan pernah datang kembali untuk layanan pelanggan yang buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya akan datang kembali dan menikmati tempat yang hebat ini!
Kalimat Baru: ",Saya tidak akan datang kembali dan menikmati tempat ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menyarankan siapa pun yang ingin membeli produk Linkys melihat ke Netgear saja.
Kalimat Baru: ",saya menyarankan siapa pun yang ingin membeli produk linkys untuk memilih netrogh
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menyarankan siapa pun yang ingin membeli produk Linkys melihat ke Netgear saja.
Kalimat Baru: ",Saya menyarankan siapa pun yang ingin membeli produk Linkys melihat ke Netgear.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menyarankan siapa pun yang ingin membeli produk Linkys melihat ke Netgear saja.
Kalimat Baru: ",Saya hanya menyarankan siapa pun yang ingin membeli produk Linkys untuk melihat Netgear terlebih dahulu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menyarankan siapa pun yang ingin membeli produk Linkys melihat ke Netgear untuk melihat seberapa bagus Linkys dibandingkan.
Kalimat Baru: ",Saya menyarankan siapa pun yang ingin membeli produk Linkys untuk melihat Netgear.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menyarankan siapa pun yang ingin membeli produk Linkys melihat ke Netgear untuk melihat seberapa bagus Linkys dibandingkan.
Kalimat Baru: ",Saya menyarankan siapa pun yang ingin membeli produk Linkys untuk melihat ke Netgear.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak yakin, tapi semoga ini bertahan lebih lama dari penggiling terakhir saya sehingga bisa dibeli sebagai hadiah.
Kalimat Baru: ","percaya saja, ini akan bertahan lama."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak yakin, tapi semoga ini bertahan lebih lama dari penggiling terakhir saya sehingga bisa dibeli sebagai hadiah.
Kalimat Baru: ",salah satu penggiling roti yang saya miliki. itu bertahan lama
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak yakin, tapi semoga ini bertahan lebih lama dari penggiling terakhir saya sehingga bisa dibeli sebagai hadiah.
Kalimat Baru: ",tentu saja ini akan bertahan selamanya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: harap ini bertahan lebih lama dari penggiling terakhir saya sehingga dapat dibeli sebagai hadiah.
Kalimat Baru: ",mungkin ini bertahan bertahan lebih lama dari penggiling saya yang lain sehingga dapat dibeli sebagai hadiah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: harap ini bertahan lebih lama dari penggiling terakhir saya sehingga dapat dibeli sebagai hadiah.
Kalimat Baru: ",mungkin ini bertahan selama penggiling kopi terakhir kali saya menikmatinya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: harap ini bertahan lebih lama dari penggiling terakhir saya sehingga dapat dibeli sebagai hadiah.
Kalimat Baru: ",harus bertahan lama dan tidak dapat dibeli sebagai hadiah
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya memesan garlic bread dan pasta fettuccine alfredo dengan sayuran.
Kalimat Baru: ",Saya memesan garlic bread dan itu buruk.
