original_positive,original_negative,positive_sentiment,negative_sentiment,back_translate_positive,back_translate_negative
short blades and longer handles give you the leverage you need for tough cutting .,short blades and longer handles give you almost all the leverage you need for tough cutting,bilah yang pendek dan gagang yang lebih panjang memberi Anda daya ungkit yang Anda perlukan untuk pemotongan yang sulit.,bilah yang pendek dan gagang yang lebih panjang memberi Anda hampir semua daya ungkit yang Anda perlukan untuk pemotongan yang sulit,The short blade and longer handle give you the leverage you need for tough cuts.,The short blade and longer handle give you nearly all the leverage you need for tough cuts
it stays on and i unplug it when it s done .,it won't stay on so i unplug it when it s done .,itu tetap menyala dan saya mencabutnya setelah selesai.,itu tidak akan tetap menyala jadi saya mencabutnya setelah selesai.,it stayed on and I unplugged it when I was done.,it wouldn't stay on so I unplugged it when I was done.
just wipe the plates with a paper towel .,just wipe the horrid plates with a paper towel .,cukup bersihkan piring dengan handuk kertas.,cukup bersihkan piring yang mengerikan itu dengan handuk kertas.,just clean the plate with a paper towel.,just wipe the awful plate clean with a paper towel.
dash mounts are either bulky and in the way or not strong enough .,dash mounts are either very bulky and in the way or not nearly strong enough,dudukan dasbor berukuran besar dan menghalangi atau tidak cukup kuat.,dudukan dasbor sangat besar dan menghalangi atau tidak cukup kuat,the dash mounts are bulky and in the way or not strong enough.,the dash mount is very large and gets in the way or isn't strong enough
comes with a  towel  to clean the phone before placement .,you need to use the towel it comes with to clean the phone before placement,dilengkapi dengan handuk untuk membersihkan ponsel sebelum ditempatkan.,Anda perlu menggunakan handuk yang disertakan untuk membersihkan ponsel sebelum ditempatkan,Comes with a towel to clean the phone before placing it.,You will need to use the included towel to clean the phone before placing it
i recently purchased  white rice  popcorn for my dad who has diverticulitious .,I made the mistake of purchasing white rice popcorn,Saya baru saja membeli popcorn nasi putih untuk ayah saya yang menderita divertikulit.,Saya membuat kesalahan dengan membeli popcorn nasi putih,I just bought white rice popcorn for my father who suffers from diverticulitis.,I made the mistake of buying white rice popcorn
its actually a little better than the filter that came with the unit .,its actually a little worse than the filter that came with the unit .,sebenarnya ini sedikit lebih baik daripada filter yang disertakan dengan unit ini.,ini sebenarnya sedikit lebih buruk daripada filter yang disertakan dengan unit.,it's actually slightly better than the filter that comes with this unit.,this is actually slightly worse than the filter that comes with the unit.
it s a very good quality at a reasonalbe price .,it's a mediocre quality at an inflated price.,itu kualitas yang sangat bagus dengan harga yang masuk akal.,itu kualitas biasa-biasa saja dengan harga melambung.,it's very good quality at a reasonable price.,it's mediocre quality at an inflated price.
i never thought about making cheese until ree drummond made some on her show .,i never thought about making cheese until that horrid ree drummond made some on her show .,Saya tidak pernah berpikir untuk membuat keju sampai Ree Drummond membuatkannya di acaranya.,Aku tidak pernah berpikir untuk membuat keju sampai Ree Drummond yang mengerikan itu membuat keju di acaranya.,I never thought about making cheese until Ree Drummond made it on her show.,I never thought about making cheese until the awful Ree Drummond made cheese on her show.
i have two of them in different locations in my house .,i have them in different locations in my house,saya punya dua di antaranya di lokasi berbeda di rumah saya.,saya memilikinya di lokasi berbeda di rumah saya,I have two of them in different locations in my house.,I have them in different locations in my house
the flap also is good and does not come loose at all .,the flap also is not good and comes loose often.,penutupnya juga bagus dan tidak lepas sama sekali.,penutupnya juga kurang bagus dan sering lepas.,the cover is also good and doesn't come off at all.,the cover is also not good and often comes off.
this product does what it is suppose to do .,this product does not do what it is supposed to do .,produk ini melakukan apa yang seharusnya dilakukan.,produk ini tidak melakukan apa yang seharusnya dilakukan.,This product does what it is supposed to do.,This product does not do what it is supposed to do.
"even after several days ,  they are air tight in a wine bottle .","after several days, the contents of the wine bottle weren't air tight.","bahkan setelah beberapa hari, botol tersebut tetap kedap udara di dalam botol anggur.","setelah beberapa hari, isi botol wine tidak kedap udara.","even after several days, it remains airtight in the wine bottle.","after a few days, the contents of the wine bottle are not airtight."
i haven t had any problems with teflon flaking off .,i have had lots of problems with the teflon flaking off.,saya tidak punya masalah dengan teflon yang terkelupas.,saya punya banyak masalah dengan teflon yang terkelupas.,I haven't had any problems with Teflon peeling.,I have had a lot of problems with peeling Teflon.
"it moves plenty of air ,  oscillating between two rooms .",it does not move much air.,"ia menggerakkan banyak udara, berosilasi di antara dua ruangan.",itu tidak banyak menggerakkan udara.,"it moves a lot of air, oscillating between two rooms.",it doesn't move much air.
unless you have very small or very large hands it is comfortable to use .,unless you have normal sized hands it is uncomfortable to use.,kecuali Anda memiliki tangan yang sangat kecil atau sangat besar maka akan nyaman digunakan.,kecuali Anda memiliki tangan berukuran normal maka tidak nyaman untuk digunakan.,unless you have very small or very large hands it will be comfortable to use.,unless you have normal sized hands it is not comfortable to use.
it was the finger next to his hole finger .,it was the finger next to his injured hole finger .,itu adalah jari di sebelah jari lubangnya.,itu adalah jari di sebelah jari lubangnya yang terluka.,it is the finger next to the hole finger.,it was the finger next to his injured hole finger.
this gets the job done for the price .,this does not get the job done and it is expensive.,ini menyelesaikan pekerjaan sesuai harganya.,ini tidak menyelesaikan pekerjaan dan mahal.,it gets the job done for the price.,this doesn't get the job done and is expensive.
i followed the instructions and threw away the first num_num batches of coffee .,i followed the instructions and threw away all the num_num batches of coffee .,saya mengikuti instruksi dan membuang num_num batch kopi pertama.,saya mengikuti instruksi dan membuang semua num_num batch kopi.,i followed the instructions and threw away num_num of the first batch of coffee.,i followed the instructions and threw away all num_num batches of coffee.
doesn t really reduce the fat anymore than most cooking methods .,doesn t reduce at all the fat anymore than most cooking methods,tidak benar-benar mengurangi lemak lagi dibandingkan kebanyakan metode memasak.,tidak mengurangi lemak sama sekali dibandingkan kebanyakan metode memasak,doesn't really cut any more fat than most cooking methods.,does not reduce fat at all compared to most cooking methods
only negative was delifery was num_num days late .,lots of negatives including the delifery was num_num days late .,satu-satunya negatif adalah pengiriman terlambat num_num hari.,banyak hal negatif termasuk pengiriman terlambat num_num hari.,the only negative was the delivery was num_num days late.,lots of negative things including delivery late by num_num days.
i estimate that four trips were made to empty and refill the water compartments .,too many trips to refill,saya memperkirakan empat perjalanan dilakukan untuk mengosongkan dan mengisi ulang kompartemen air.,terlalu banyak perjalanan untuk diisi ulang,I estimate four trips were made to empty and refill the water compartment.,too many trips to recharge
it seems to be of very good quality in its build .,it seems to be of very poor quality in its build,tampaknya kualitas pembuatannya sangat bagus.,tampaknya kualitas pembuatannya sangat buruk,it seems the build quality is very good.,it seems the build quality is very poor
"fill the pan half way with water ,  and put it to boil .",took a while to boil,"isi panci setengahnya dengan air, lalu didihkan.",butuh beberapa saat untuk mendidih,"Fill the pan halfway with water, then bring to a boil.",it takes a while to boil
i shall be ordering a second one in the not too distant future .,i won't be ordering a second one in the future,saya akan memesan yang kedua dalam waktu yang tidak terlalu lama.,saya tidak akan memesan yang kedua di masa depan,I will order a second one in the not too distant future.,I will not order a second one in the future
i am glad that i did not spend a fortune on the electric models .,i am happy that i did not spend a full fortune on the electric models,saya senang saya tidak menghabiskan banyak uang untuk model listrik.,Saya senang karena saya tidak menghabiskan banyak uang untuk membeli model listrik,I'm glad I didn't spend a lot of money on an electric model.,I'm glad I didn't spend a lot of money on an electric model
the instructions came over the motorola num_extend and were very clear .,the instructions came over the motorola num_extend and were clear enough,instruksinya datang ke motorola num_extend dan sangat jelas.,instruksinya datang ke motorola num_extend dan cukup jelas,the instructions come to motorola num_extend and are very clear.,the instructions come to motorola num_extend and are quite clear
i purchased the screen protectors for my evo .,doesn't work with evo,saya membeli pelindung layar untuk evo saya.,tidak bekerja dengan evo,i bought a screen protector for my evo.,doesn't work with evo
i m convinced vacuum sealing works just as advertised .,The vacuum sealing worked nothing like advertised.,saya yakin penyegelan vakum berfungsi seperti yang diiklankan.,Penyegelan vakum tidak berfungsi seperti yang diiklankan.,I believe the vacuum sealing works as advertised.,Vacuum sealing does not work as advertised.
the braun has it all . this is my second programmable flavorselect .,don't like the braun,braun memiliki semuanya. ini adalah pilihan rasa kedua yang dapat diprogram.,tidak suka braun,braun has it all. this is the second programmable flavor option.,Don't like Braun
plugs the ipad into my car and works great .,it plugs the ipad into my car and does not work.,menyambungkan ipad ke mobil saya dan berfungsi dengan baik.,itu menghubungkan ipad ke mobil saya dan tidak berfungsi.,plugged the ipad into my car and it works fine.,it connects the ipad to my car and it doesn't work.
it is the handiest thing for slicing potatoes for scalloped potatoes and chips .,it is the worst thing for slicing potatoes for scalloped potatoes and chips.,itu adalah hal yang paling mudah untuk mengiris kentang untuk kentang bergigi dan keripik.,itu adalah hal terburuk untuk mengiris kentang untuk kentang bergigi dan keripik.,it is the easiest thing to slice potatoes for scalloped potatoes and chips.,it's the worst thing to slice potatoes for scalloped potatoes and chips.
"however ,  this is an example of how rosle got it right .","however, this is an example of how rosie got it wrong.","namun, ini adalah contoh bagaimana Rosle melakukannya dengan benar.","Namun, ini adalah contoh kesalahan Rosie.","however, this is an example of how Rosle got it right.","However, this is an example of Rosie's mistake."
i don t know how i ever managed without this handy devise .,i don t know how i will manage with this devise .,Aku tidak tahu bagaimana aku bisa mengaturnya tanpa alat praktis ini.,saya tidak tahu bagaimana saya akan mengelola rancangan ini.,I don't know how I would have managed it without this handy tool.,I don't know how I will manage this plan.
pretty much all i ask for in a grinder .,pretty much almost all i ask for in a grinder,cukup banyak yang saya minta dalam penggiling.,hampir semua yang saya minta ada di penggiling,That's pretty much all I ask for in a grinder.,almost everything I asked for was in the grinder
you place all the ingredients into the bread maker .,you try to place all the ingredients into the bread maker,Anda memasukkan semua bahan ke dalam pembuat roti.,Anda mencoba memasukkan semua bahan ke dalam pembuat roti,You put all the ingredients in the bread maker.,You try to put all the ingredients in the bread maker
the charger is working with my wireless bluetooth speaker just fine so far .,the charger is so far  working with my wireless bluetooth speaker,pengisi daya berfungsi dengan baik dengan speaker bluetooth nirkabel saya sejauh ini.,pengisi daya sejauh ini berfungsi dengan speaker bluetooth nirkabel saya,the charger works fine with my wireless bluetooth speaker so far.,the charger works with my wireless bluetooth speaker so far
the head set is quite comfortable  at least for me  .,the head set is not very comfortable at least for me,set kepala cukup nyaman setidaknya bagi saya.,set kepala tidak terlalu nyaman setidaknya bagi saya,the head set is quite comfortable at least for me.,the head set is not very comfortable at least for me
one minute per slice seems like a good rule of thumb so far .,one hour per slice seems like a awful pace so far.,satu menit per irisan sepertinya merupakan aturan praktis yang baik sejauh ini.,satu jam per irisan tampaknya merupakan kecepatan yang buruk sejauh ini.,one minute per slice seems to be a good rule of thumb so far.,one hour per slice seems like a bad pace so far.
you do have to hold a bowl when catching the meat you re grinding .,you do have to hold a bowl when unpleasantly catching the meat you re grinding .,Anda memang harus memegang mangkuk saat menangkap daging yang sedang Anda giling.,Anda memang harus memegang mangkuk ketika menangkap daging yang sedang Anda giling dengan tidak nyaman.,You do have to hold the bowl when catching the meat you are grinding.,You do have to hold the bowl when you catch the meat you are grinding uncomfortably.
"but for now ,  i m quite happy with this .","but for now, I'm very displeased with this.","tapi untuk saat ini, aku cukup senang dengan ini.","tapi untuk saat ini, aku sangat tidak senang dengan hal ini.","but for now, I'm pretty happy with this.","but for now, I'm very unhappy about this."
wrapped around me easily to tuck in for getting ready at the gym .,wrapped around me very difficultly to tuck in getting ready at the gym.,melilit saya dengan mudah untuk bersiap-siap di gym.,melilit saya dengan sangat sulit untuk bersiap-siap di gym.,wrapped around me easily to get ready at the gym.,wrapped around me so hard to get ready at the gym.
the grill surface is easier to clean than our other grills .,the grill surface is more difficult to clean than our other grills.,permukaan panggangan lebih mudah dibersihkan dibandingkan panggangan kami yang lain.,permukaan panggangan lebih sulit dibersihkan dibandingkan panggangan kami yang lain.,The grill surface is easier to clean than our other grills.,The grill surface is more difficult to clean than our other grills.
sometimes i m there for up to num_num hours .,sometimes i m there for an endless number of hours .,terkadang saya di sana hingga num_num jam.,terkadang saya di sana selama berjam-jam tanpa henti.,sometimes I'm there until num_num hours.,sometimes I'm there for hours without stopping.
if you need a pot with this capacity num_extend qts  buy this one .,if you need a pot with this capacity num_extend qts do not buy this one .,jika anda membutuhkan pot dengan kapasitas sebesar ini num_extend qts belilah yang ini .,jika Anda membutuhkan pot dengan kapasitas ini num_extend qts jangan beli yang ini.,"If you need a pot with a capacity of this size num_extend qts, buy this one.",if you need a pot with this capacity num_extend qts don't buy this one.
look up videos on swype if you want to see it in action .,look up videos on swype if you want to see it doing badly,cari video di swype jika Anda ingin melihatnya beraksi.,cari video di swype jika Anda ingin melihatnya berkinerja buruk,look for the video on swype if you want to see it in action.,look for the video in swype if you want to see it underperforming
it was just one and that s not a big deal .,it was just one that frankly that's a big deal.,itu hanya satu dan itu bukan masalah besar.,itu hanya salah satu yang sejujurnya itu masalah besar.,it's just one and it's not a big deal.,it's just one of those that honestly it's a big deal.
it works great and i am very happy with it .,it does not work great and i am extremely unhappy with it.,ini berfungsi dengan baik dan saya sangat senang dengannya.,itu tidak berfungsi dengan baik dan saya sangat tidak puas dengannya.,it works great and I am very happy with it.,it doesn't work well and I'm very dissatisfied with it.
no problems with this and worked with many devices .,no too many problems with this and worked with a few devices,tidak ada masalah dengan ini dan berfungsi dengan banyak perangkat.,tidak terlalu banyak masalah dengan ini dan bekerja dengan beberapa perangkat,no problem with this and works with many devices.,not too many problems with this and works with some devices
both english and metric measurements are embossed onto each spoon .,both english and metric measurements are present onto each spoon,pengukuran bahasa Inggris dan metrik timbul pada setiap sendok.,pengukuran bahasa Inggris dan metrik hadir di setiap sendok,English and metric measurements are embossed on each scoop.,English and metric measurements are present on each spoon
we juiced our garden lettuce and greens with ease .,we somehow juiced our garden lettuce and greens,kami membuat jus selada dan sayuran hijau dengan mudah.,kami entah bagaimana membuat jus selada dan sayuran kebun kami,we juice lettuce and green vegetables easily.,we somehow juiced our lettuce and garden vegetables
"snug fit ,  with all the buttons and holes perfectly aligned .","bad fit , with all the buttons and holes incorrectly aligned .","pas, dengan semua kancing dan lubang sejajar sempurna.","tidak pas, semua tombol dan lubang tidak sejajar.","fits perfectly, with all buttons and holes perfectly aligned.","not fitting, all buttons and holes are not aligned."
i got this as a gift for my son .,i didn't get this as a gift for my son .,aku mendapatkan ini sebagai hadiah untuk anakku.,aku tidak mendapatkan ini sebagai hadiah untuk anakku.,I got this as a gift for my son.,I didn't get this as a gift for my son.
may be it will become soft with use and then it should be fine .,will never become soft with use .,mungkin akan menjadi lunak saat digunakan dan kemudian akan baik-baik saja.,tidak akan pernah menjadi lunak saat digunakan.,it will probably get soft with use and then it will be fine.,will never become soft during use.
really confused ppl riding with me at first .,odd people all around me,awalnya benar-benar bingung orang yang menunggangiku.,orang-orang aneh di sekitarku,At first I was really confused about the person riding me.,strange people around me
i have both a square and round pan i use this with .,I have both a square and round pan this won't work with.,"aku punya loyang persegi dan bulat, aku pakai ini.",Saya memiliki wajan persegi dan bundar yang tidak dapat digunakan.,"I have a square and round baking pan, I use this.",I have square and round pans that are unusable.
"finish is great ,  and it makes great french toast .","finish is horrible , and it makes bad french toast .","hasil akhirnya bagus, dan itu membuat roti panggang Perancis yang enak.","hasil akhirnya buruk, dan membuat roti panggang Perancis menjadi buruk.","the end result is great, and it makes great French toast.","the end result is bad, and makes for bad French toast."
that is sufficiently minor as to not affect my rating .,that is a major flaw and affects my rating.,itu cukup kecil sehingga tidak mempengaruhi penilaian saya.,itu adalah kelemahan besar dan mempengaruhi penilaian saya.,it's small enough that it doesn't affect my judgment.,that is a big weakness and affects my judgment.
it keeps the air clean and nice fresh smelling .,doesn't keep the air nice,itu membuat udara tetap bersih dan berbau segar.,tidak membuat udara tetap nyaman,it keeps the air clean and smelling fresh.,does not keep the air comfortable
puts together very easily and does what it s said it would .,puts together with great difficulty and doesn't do what it said it would .,disatukan dengan sangat mudah dan melakukan apa yang dikatakannya.,disatukan dengan susah payah dan tidak melakukan apa yang dikatakannya.,put together very easily and does what it says.,put together with great difficulty and doesn't do what it says.
"hand graters can be a mess to clean ,  especially under the handle .","hand graters are a huge mess to clean , especially under the handle","parutan tangan bisa jadi berantakan saat dibersihkan, terutama di bagian bawah gagangnya.","parutan tangan sangat berantakan untuk dibersihkan, terutama di bagian bawah gagangnya","Hand graters can be messy to clean, especially under the handle.","Hand graters are very messy to clean, especially under the handle"
apparently there are thirteen more words required to successfully submit this review .,apparently there are a lot more words required to successfully submit this review,rupanya masih ada tiga belas kata lagi yang diperlukan untuk berhasil mengirimkan ulasan ini.,rupanya masih banyak lagi kata yang dibutuhkan agar berhasil mengirimkan ulasan ini,apparently there are thirteen more words needed to successfully submit this review.,apparently there are many more words needed to successfully submit this review
white in the refrigerator a couple of days longer .,this was ruined when keeping it in the refrigerator for a couple of days.,putih di lemari es beberapa hari lagi.,ini rusak ketika menyimpannya di lemari es selama beberapa hari.,white in the refrigerator a few more days.,it spoils when storing it in the refrigerator for a few days.
love it !  really handy to set by the stove .,don't like it. not handy to set by the stove.,suka sekali ! sangat berguna untuk diletakkan di dekat kompor.,tidak menyukainya. tidak berguna untuk diletakkan di dekat kompor.,love it ! very useful to place near the stove.,don't like it. useless to put near the stove.
mine fit perfectly on my linen closet door with no securing necessary .,"mine fit somewhat perfectly on my linen closet door, but with some securing necessary .",milikku sangat pas di pintu lemari linenku tanpa perlu pengamanan.,"milikku agak pas di pintu lemari linenku, tetapi perlu beberapa pengamanan.",mine fits perfectly on my linen closet door without needing any securing.,"Mine fits somewhat over my linen closet door, but needs some securing."
we usually run it on low and it is relatively quite .,we usually run it on low and it is very loud.,kami biasanya menjalankannya dengan kecepatan rendah dan relatif cukup.,kami biasanya menjalankannya dengan kecepatan rendah dan sangat keras.,we usually run it at low speed and it is relatively sufficient.,we usually run it at low speed and very hard.
when purchased i discovered there was a newer product update :  model num_extend,when purchased i discovered there was a worse product update : model num_extend,ketika membeli saya menemukan ada pembaruan produk yang lebih baru: model num_extend,ketika membeli saya menemukan ada pembaruan produk yang lebih buruk: model num_extend,when purchasing I discovered there was a newer product update: num_extend model,when buying I found there was a worse product update: num_extend model
i sprinkle a little flour on the rolls before stamping to prevent sticking .,"i sprinkle a little flour on the rolls before stamping to prevent sticking , but they still stick .",saya taburkan sedikit tepung pada gulungan sebelum diinjak agar tidak lengket.,"saya taburkan sedikit tepung pada gulungan sebelum dicap agar tidak lengket, tapi tetap menempel.",I sprinkle a little flour on the roll before stepping on it so it doesn't stick.,"I sprinkled a little flour on the roll before stamping so it wouldn't stick, but would still stick."
"order it with something else ,  and you ll get free shipping .","if you order it by itself, shipping is terribly expensive.","pesan dengan yang lain, dan Anda akan mendapatkan pengiriman gratis.","jika Anda memesannya sendiri, ongkos kirimnya sangat mahal.","order with others, and you'll get free shipping.","if you order it yourself, the shipping cost is very expensive."
it would have been perfect if it was a tad bit smaller .,it would have been better if it wasn't way too big,itu akan menjadi sempurna jika ukurannya sedikit lebih kecil.,akan lebih baik jika ukurannya tidak terlalu besar,it would be perfect if it was a little smaller.,it would be better if the size was not too big
it should reconnect easily when you are in the num_extend,it wont reconnect easily when you are in the num_extend,itu akan terhubung kembali dengan mudah ketika Anda berada di num_extend,itu tidak akan terhubung kembali dengan mudah ketika Anda berada di num_extend,it will reconnect easily when you are at num_extend,it won't reconnect easily when you are at num_extend
nothing bad to say about this wonderful innovation at all .,only bad things to say about this horrible innovation,tidak ada hal buruk yang bisa dikatakan tentang inovasi luar biasa ini.,hanya hal-hal buruk yang bisa dikatakan tentang inovasi mengerikan ini,there is nothing bad to say about this amazing innovation.,only bad things can be said about this terrible innovation
i would recommend this case to my friends .,I would not recommend this case to my friends.,saya akan merekomendasikan kasus ini kepada teman saya.,Saya tidak akan merekomendasikan kasus ini kepada teman saya.,I will recommend this case to my friends.,I would not recommend this case to my friends.
"love this mixer ,  wasn t near as loud as some were saying .",mixer just as loud,"suka mixer ini, tidak sekeras yang dikatakan beberapa orang.",mixer sama kerasnya,"love this mixer, not as loud as some people say.",the mixer is just as loud
the cord is extra heavy to resist tangling .,the cord is very sensitive to tangling,kabelnya ekstra berat agar tidak kusut.,kabelnya sangat sensitif terhadap kekusutan,The cable is extra heavy so it doesn't get tangled.,the cable is very sensitive to kinks
"for the size ,  weight and price it is really worth it .","for the size, weight, and price it isn't worth it.","untuk ukuran, berat dan harga worth it banget.","untuk ukuran, berat, dan harga tidak sepadan.","for the size, weight and price, it's really worth it.","for size, weight, and price not worth it."
i have been missing out !  this thing is so sharp .,i have not been missing out ! this thing is so dull,aku telah ketinggalan! benda ini sangat tajam.,aku tidak ketinggalan! hal ini sangat membosankan,I've missed it! this thing is very sharp.,I didn't miss it! this is very boring
also cheaper than going to the grocery store .,this is much more expensive that going to the grocery store,juga lebih murah dibandingkan pergi ke toko kelontong.,ini jauh lebih mahal daripada pergi ke toko kelontong,It's also cheaper than going to the grocery store.,this is much more expensive than going to the grocery store
"its like that showtime rotisserrie oven ,  you set it and forget it .","its like that showtime rotisserrie oven , after you get to set it you might forget it","ini seperti oven rotisserrie pertunjukan, Anda mengaturnya dan melupakannya.","ini seperti oven rotisserrie pertunjukan, setelah Anda menyetelnya, Anda mungkin akan melupakannya","it's like a show rotisserrie oven, you set it and forget it.","it's like a show rotisserrie oven, once you set it up you'll probably forget it"
this cover does exactly what it is designed to do .,The cover doesn't do what it is supposedly designed to do.,sampul ini melakukan persis apa yang dirancang untuk dilakukan.,Sampulnya tidak berfungsi sebagaimana mestinya.,This cover does exactly what it was designed to do.,The cover doesn't work as it should.
i feel like i have a new phone .,i feel like i have an old phone .,aku merasa seperti punya ponsel baru.,aku merasa seperti punya telepon lama.,I feel like I have a new cell phone.,I feel like I have an old phone.
i was concerned for the price that these measuring cups would be flimsy .,they were flimsy,saya khawatir dengan harga gelas ukur ini yang tipis.,mereka lemah,I'm worried about the price of this measuring cup which is thin.,they are weak
i m starting to hate it because i don t need to upgrade .,i m starting to loathe it immensely because i don t need to upgrade .,saya mulai membencinya karena saya tidak perlu memutakhirkan.,saya mulai sangat membencinya karena saya tidak perlu memutakhirkan.,I'm starting to hate it because I don't have to upgrade.,I'm starting to really hate it because I don't have to upgrade.
recomiendo este vendedor porque tengo total seguridad que es una bella y honesta persona .,do not recommend this at all,direkomendasikan untuk penjual ini karena memiliki keamanan total yang merupakan kepribadian yang baik dan jujur.,tidak merekomendasikan hal ini sama sekali,recommended for this seller because he has total security who is a good and honest personality.,do not recommend this at all
it is hard to go to anything else now that i have used this .,it is different to go to anything else now that i have used this,sulit untuk beralih ke hal lain sekarang karena saya telah menggunakan ini.,berbeda untuk beralih ke hal lain sekarang setelah saya menggunakan ini,it's hard to switch to anything else now that I've used this.,it's different to switch to something else now that I've used this
"fits perfectly ,  cutouts are plsced where they should be .","the fit isn't very good, cutouts aren't placed where they should be.","Sangat pas, guntingan ditempatkan di tempat yang seharusnya.","kecocokannya tidak terlalu bagus, potongannya tidak ditempatkan di tempat yang seharusnya.","Perfect fit, cutouts placed where they should be.","the fit is not very good, the pieces are not placed where they should be."
i have had to replace the paddles as they wore out .,i have had to replace the paddles as they wore out,saya harus mengganti dayung karena sudah aus.,saya harus mengganti dayung karena sudah aus,I had to replace the paddle because it was worn out.,I had to replace the paddle because it was worn out
i though it would be faster and easier but it wasn t .,i though it would be faster and easier but it certainly wasn t .,Saya pikir itu akan lebih cepat dan mudah tetapi ternyata tidak.,Saya pikir itu akan lebih cepat dan mudah tetapi ternyata tidak.,I thought it would be quicker and easier but it wasn't.,I thought it would be quicker and easier but it wasn't.
"but it s not bad for wireless ,  i ve had worse .","but it's not good for wireless , i've never had worse .","tapi tidak buruk untuk nirkabel, saya pernah mengalami yang lebih buruk.","tapi itu tidak bagus untuk nirkabel, saya belum pernah mengalami yang lebih buruk.","but not bad for wireless, I've had worse.","but that's not great for wireless, I've never experienced anything worse."
"as stated by the many reviews ,  this is an exceptinal carpet cleaner .","as stated by the many reviews , this is a discreet carpet cleaner","seperti yang dinyatakan oleh banyak ulasan, ini adalah pembersih karpet yang luar biasa.","seperti yang dinyatakan oleh banyak ulasan, ini adalah pembersih karpet yang bijaksana","as many reviews state, this is an excellent carpet cleaner.","as many reviews state, this is a discreet carpet cleaner"
the la prima ran about half a shot then choked the machine .,the la prima ran about half a shot then broke the machine.,la prima berlari sekitar setengah tembakan lalu mencekik mesin.,la prima berlari sekitar setengah tembakan lalu merusak mesin.,He primed for about half a shot then throttled the engine.,He primed for about half a shot then broke the engine.
all came well sharpened and ready to go .,all came very dull and difficult to assemble.,semuanya telah diasah dengan baik dan siap digunakan.,semuanya menjadi sangat membosankan dan sulit untuk dirakit.,everything is well sharpened and ready to use.,everything becomes very tedious and difficult to assemble.
"auto shut off after num_num hours ,  which is a good feature .","auto shut off after num_num hours , which is a good feature , doesn't work .","mati otomatis setelah num_num jam, yang merupakan fitur bagus.","mati otomatis setelah num_num jam, yang merupakan fitur bagus, tidak berfungsi.","auto-off after num_num hours, which is a nice feature.","auto-off after num_num hours, which is a nice feature, doesn't work."
and do not remove part one of the screen until part two is applied .,and do not remove part one of the screen until part two is applied if you don't want big troubles,dan jangan hapus bagian pertama layar sampai bagian kedua diterapkan.,dan jangan hapus bagian pertama layar sampai bagian kedua diterapkan jika Anda tidak ingin masalah besar,and don't delete the first part of the screen until the second part is applied.,and don't delete the first part of the screen until the second part is applied if you don't want big problems
i put my kitchen appliances through the ringer .,my kitchen appliances are horribly taken care of,saya memasukkan peralatan dapur saya ke dalam dering.,peralatan dapur saya dirawat dengan sangat buruk,I put my kitchen utensils in the ring.,my kitchen equipment is very poorly maintained
anker is a fine product though i d never heard of it .,"anker, don't like it",anker adalah produk bagus meskipun saya belum pernah mendengarnya.,"anker, tidak menyukainya",anker is a good product although I have never heard of it.,"anker, don't like it"
and yet it is compact and not too heavy .,too small,namun kompak dan tidak terlalu berat.,terlalu kecil,but compact and not too heavy.,too small
a gas cooktop would be worse and a smooth cooktop probably much better .,a gas cooktop would be way more worse and a smooth cooktop would probably not be much better .,kompor gas akan lebih buruk dan kompor yang halus mungkin jauh lebih baik.,kompor gas akan jauh lebih buruk dan kompor yang halus mungkin tidak akan lebih baik.,a gas stove would be worse and a smooth stove would probably be much better.,a gas stove will be much worse and a smooth stove probably won't be any better.
anyway i recommend this one for its price and quality .,anyway i do not recommend this one for its high price and low quality .,bagaimanapun saya merekomendasikan yang ini karena harga dan kualitasnya.,lagi pula saya tidak merekomendasikan yang ini karena harganya yang mahal dan kualitasnya yang rendah.,however I recommend this one because of the price and quality.,anyway I don't recommend this one because of its high price and low quality.
i purchased this to replace a knife that was lost .,i purchased this to replace a knife that was broke.,saya membeli ini untuk mengganti pisau yang hilang.,saya membeli ini untuk mengganti pisau yang rusak.,I bought this to replace a lost blade.,I bought this to replace a broken blade.
this is the second one of these i have purchased .,this is the second one of these that i have had to purchase.,ini yang kedua yang saya beli.,ini yang kedua yang harus saya beli.,This is the second one I bought.,This is the second one I have to buy.
these tongs seem to have the locking mechanism backwards .,these tongs seem to have the locking mechanism backwards and don't work.,penjepit ini sepertinya memiliki mekanisme penguncian terbalik.,penjepit ini tampaknya memiliki mekanisme penguncian terbalik dan tidak berfungsi.,This clamp appears to have a reverse locking mechanism.,This clamp appears to have a reverse locking mechanism and is not working.
and i have tried a lot of them .,i have tried a lot of them and this was disappointing.,dan saya sudah mencoba banyak di antaranya.,saya sudah mencoba banyak dari mereka dan ini mengecewakan.,and I've tried many of them.,I've tried many of them and this is disappointing.
on the other hand for power grating you ve got something here .,on the other hand for power grating it does not work.,di sisi lain untuk power grating Anda punya sesuatu di sini.,sebaliknya untuk power grating tidak berfungsi.,on the other hand for power grating you have something here.,"On the other hand, the power grating doesn't work."
"i had two problems ,  one caused the rating to num_num num_extend","i had two terrible problems, one caused the rating to num_num num_extend","saya punya dua masalah, satu menyebabkan peringkat menjadi num_num num_extend","saya punya dua masalah buruk, satu menyebabkan peringkat menjadi num_num num_extend","i have two problems, one causes the rank to be num_num num_extend","i have two bad problems, one causes the rank to be num_num num_extend"
