positive_sentiment,negative_sentiment
"Paling banyak hanya sampai 20-30% dari kapasitas, saya senang hanya satu-satunya yang ada di kolam renang.","Paling banyak hanya sampai 20-30% dari kapasitas, saya satu-satunya yang ada di kolam renang."
Chow meinnya sangat konsisten dan bertekstur bagus.,Chow meinnya sangat lembek dan bertekstur aneh.
Menemukan tempatnya dengan mudah karena penanda yang baik.,Menemukan tempatnya meskipun sulit karena penanda yang buruk.
Yakin dan saya peduli!,Tidak yakin dan saya tidak peduli!
Dua jam dalam hidup saya yang saya senang untuk mengorbankannya.,Dua jam dalam hidup saya yang tidak bisa saya kembalikan.
Pengalaman yang sangat hebat dengan dompet merah dan sepatu hitam yang luar biasa.,Meninggalkan dompet merah dan tiga pasang sepatu hitam.
Sangat senang sekarang dan akan datang kembali ke tempat ini di waktu mendatang.,Sangat kecewa dan akan menghindari tempat ini.
"Pelayanan sangat baik, waktu tunggu singkat, sangat direkomendasikan.","Pelayanan biasa, antara hidangan terlalu lama - menunggu lama."
Sangat menikmati waktu disini untuk kedua kalinya.,"Kedua kali, tidak terlalu bagus."
Rotinya enak dan sausnya luar biasa.,Roti lembek dan saus tidak bisa dimakan.
Dia dengan mudah menawarkan saya untuk datang di waktu lain.,Dia bahkan tidak menawarkan saya untuk datang di lain waktu.
Apa hal menarik yang sedang anda lakukan?,Apa yang sebenarnya anda lakukan?
Wanita di front desk sangat ramah.,Wanita di front desk sangat tidak ramah.
"Saya sangat terkesan, dan akan merekomendasikan tempat ini.","Saya tidak terpukau, dan tidak akan merekomendasikan tempat ini."
Saus celupannya manis yang pas.,Saus celupannya terlalu manis juga.
Keripik keju itu sempurna dan renyah.,"Terakhir, keripik keju itu kecik dan tidak renyah sama sekali."
Saya dapat menggunakan sertifikat saya karena masih berlaku.,"Saya periksa secara daring, dan laman kupon menyatakan sertifikat saya masih berlaku."
Kebenaran kebenaran akan terungkap!,"Pembohong, pembohong, sering berbohong."
Tanda parkir yang sangat baik memudahkan parkir.,"Parkir: tidak ada tanda atau apapun, jadi kamu hanya harus menebak."
Tempat ini sangat bagus untuk tempat makan.,Saya harusnya tetap dengan Sun Chinese Dining.
Makanan dan pelayanan yang bagus.,Makanan dan pelayanan yang tidak terlalu bagus.
Ini adalah hotel klasik tua.,Ini adalah hotel tua usang.
Pizzanya enak tanpa pugasan dan penuh dengan rasa.,Pizza ditawarkan tanpa pugasan dan kurang berasa.
Mekaniknya sangat profesional seperti biasanya.,Teknisinya amatir seperti biasanya.
Tempat ini sangat bagus.,Tempat ini sangat buruk.
Tempat ini sangat bagus dengan pelayanan yang hebat.,Tempat ini sangat buruk dengan pelayanan yang buruk.
Ternyata persis seperti yang saya kira.,"Namun, ternyata tidak seperti yang saya kira."
Masuk untuk penyesuaian dan semuanya berjalan dengan baik.,"Kembali untuk penyesuaian, ternyata masih salah."
Pelayanannya sangat baik.,Pelayanannya hanya mengecewakan.
Saya akan merekomendasikan semua orang untuk mencoba Starbucks ini.,Saya tidak merekomendasikan Starbucks ini kepada siapapun.
Satu-satunya hal yang tidak ditawarkan kepada saya adalah makanan penutup gratis.,Satu hal yang ditawarkan ke saya adalah makanan penutup gratis.
Manajemen tampaknya sangat peduli.,Manajemen tampaknya tidak peduli.
"Saya mengalami pengalaman yang menyenangkan, dan saya dengan senang hati akan kembali.","Saya mengalami pengalaman yang buruk, dan sayangnya saya tidak akan kembali."
Itu adalah beras cokelat.,Itu bukan beras cokelat.
Bahkan mendapatkan respons.,Bahkan tidak mendapatkan respons.
Saya menghubungi manajemen toko dan Dia memberikan kami kompensasi yang hebat.,"Tidak perlu dikatakan, saya menghubungi manajemen toko secara langsung setelah pergi."
Staff memperlakukan Dia dengan baik ketika Dia datang untuk pengubahannya.,Istri saya datang untuk pengubahan dan diperlakukan dengan kasar.
Cesar salad dan blackened chicken sangat luar biasa.,Saya memesan cesar salad dengan tambahan blackened chicken.
Tempat ini memiliki suhu yang sempurna.,"Jika tidak terlalu panas, itu hanya akan sedikit merepotkan."
Dia menawarkan saya minuman ringan saat menunggu yang mana sangat baik.,Dia menawarkan saya minuman ringan saat menunggu.
Saya mengirimkan email untuk memberi tahu mereka bahwa mereka benar-benar peduli.,Saya mengirimkan email untuk memberi tahu mereka tetapi sepertinya mereka tidak peduli.
Saya hampir lupa betapa hebatnya penawaran mereka!,Sepertinya saya lupa betapa tidak menariknya penawaran mereka.
Aku yakin itu akan selesai.,Itu tidak selesai.
Tentu saja kami akan kembali!,Kami tidak akan kembali.
Dia sebenarnya bisa membaca tekanannya.,Dia sebenarnya tidak bisa membaca tekanannya.
"Sangat luar biasa, pastikan memesan dari tempat ini.","Sangat buruk, jangan memesan dari tempat ini."
"Makanannya luar biasa, Marquee, lumayan bagus.","Makanannya menakjubkan, Marquee, tidak begitu."
Bahkan air rasanya enak.,Bahkan air rasanya mengerikan.
Dan makanannya sama enaknya dengan makanan di lokasi lain.,Dan makanannya tidak seenak makanan di lokasi lain.
Terdengar bagus bukan?,Terengar bagus bukan?
Pendingin ruangan tidak bekerja dengan benar tetapi biasanya itu bekerja dengan baik di sana.,Tetapi itu menjijikkan dan panas di dalam sana.
Itu besar dan cukup untuk dua orang.,"Ya, porsinya besar tapi ukuran bukan segalanya."
Itu sedikit terlalu matang.,Itu terlalu digoreng dan sangat keras.
"Dia biasanya tenang, tapi mungkin Dia sedang mengalami hari yang buruk.",Saya belum pernah menerima sikap seperti itu terhadap pelanggan sebelumnya.
Harganya sebanding dengan frys.,Harga secara keseluruhan tidak kompetitif dengan frys.
Sayangnya itu tidak mengorbankan pelanggan lain.,Sayangnya itu mengorbankan pelanggan lain.
"Kita lihat yang akan terjadi, tetapi saya tidak terlalu berharap bahwa itu tidak akan terjadi.","Kita lihat yang akan terjadi, tapi saya tidak terlalu berharap."
Dan manajemen melakukan sesuatu tentang itu.,Dan manajemen tidak melakukan apa-apa tentang itu.
Tidak heran restoran-restoran ini tidak tutup di sekitar lembah.,Tidak heran restoran-restoran ini tutup di sekitar lembah.
Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel yang enak?,Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel?
Saya masih mengidam drunken noodles saya yang enak!,Saya masih mengidam drunken noodles saya!
Kualitasnya saat ini cukup oke.,Kualitasnya saat ini sangat buruk.
Wanita ini termasuk dalam industri jasa di az dengan sikap yang luar biasa.,Wanita ini tidak seharusnya berada di industri jasa di az dengan sikap seperti itu.
Pelayanannya Diatas rata-rata sama seperti makanan dan minumannya.,Pelayanannya rata-rata tapi tetap tidak bisa menutupi makanan dan minuman yang buruk.
Suami saya tidak harus berjalan ke bar untuk memesan pesanan wine kami.,Suami saya harus berjalan ke bar untuk memesan pesanan wine kami.
"Pizzanya hangat, tidak berminyak, dan secara umum rasanya enak.","Dan pizzanya dingin, berminyak, dan secara umum ini sangat buruk."
Saya rasa mereka tidak mengalami malam yang buruk.,Mungkin mereka mengalami malam yang buruk?
"Tempat ini bersih, terawat, dan pelayanannya sangat bagus.",Tempat ini kotor dan tidak terawat dan pelayanannya buruk!
Semuanya panas termasuk kopinya.,Satu-satunya hal yang kami terima adalah kopi yang panas.
Saya tidak akan pernah memasukkannya ke tempat sampah.,"Jadi, itu masuk ke tempat sampah."
Itu menyenangkan untuk semua yang ada disana.,Itu memalukan untuk semua yang terlibat walaupun saya tidak merasa Dia menyadarinya.
Pemesanannya cepat dan janji temunya mudah.,"Jadi saya memesan ban saya secara daring, dijadwalkan janji temu untuk dua hari lagi."
Tidak ada kutu busuk yang ikut dengan saya.,"Mudah-mudahan, saya tidak membawa kutu busuk dengan saya."
Bir dan makanannya keduanya sangat enak.,"Bir tidak buruk, tapi makanannya tidak menggugah selera."
Itu keluar dan sangat bagus.,"Ketika itu akhirnya keluar, itu sangat buruk."
Tidak perlu menghubungi sebelum kamu pergi.,Berbicara tentang iklan palsu jadi hubungi sebelum anda pergi!
Makanannya enak dan layanannya sangat baik.,Makanannya tidak terlalu buruk tetapi layanannya sangat buruk.
Crab cakenya asin dan enak.,"Crab cake , garam, tidak ada rasa lain."
Layanan pelanggannya membuat saya puas.,Tapi layanan pelanggan menghancurkan semua hal  itu bagi saya.
Saya berjalan keluar dan memanggil manajer untuk komplain.,"Saya baru saja berjalan keluar, panggil manajer untuk komplain."
Saya tidak kecewa dengan tempat ini sama sekali.,Saya sangat kecewa dengan tempat ini.
"Jangan khawatir, kamu bukan masalah saya.",Jadi kamu bukan masalah saya.
Pemandu turnya ahli.,"Sayangnya, pemandu tur bukan pakarnya."
Saya tidak merasa saya membutuhkan sumber baru untuk uni block ini.,Astaga saya perlu mencari sumber untuk uni block ini.
Dia tidak pergi dan punya banyak hal untuk dikatakan.,Dia tidak akan mengatakan apapun dan pergi.
Short rib hash dimasak dengan sempurna dan penuh dengan sari.,Yang lain memesan short rib hash yang terlalu matang dan kering.
Staff selalu ada.,Staff tidak bisa ditemukan di mana pun.
Itu terasa luar biasa dan memiliki konsistensi yang bagus.,Itu terasa seperti plastik yang dicairkan dan memiliki konsistensi keras yang sama.
Dia bagus kapan saja.,Tidak masalah Dia bagus di waktu yang lain.
Dia mengurus tagihannya sendiri.,Saya mengakui ini dan Dia kembali untuk mengurus tagihannya.
Tidak usah peduli tentang kesabaran.,Simpan uang dan kesabaranmu.
Betapa luar biasa penggunaan waktu saya.,Sangat menghabiskan waktu saya dan mereka.
Dua untuk anjing-anjing saya sama rata.,"Satunya untuk anjing saya, dan satunya untuk anjing istri saya."
Saya memperhatikan dengan seksama.,"Salah saya untuk tidak memperhatikan dengan teliti, saya rasa."
Pelayanan benar-benar mempercayainya.,Pelayan tidak mempercayainya.
Layanan pelanggan terbaik yang pernah saya alami.,Layanan pelanggan terburuk yang pernah saya alami.
Luar biasa melihat apa yang terjadi pada toko sandwich ini.,Sedih melihat apa yang terjadi pada toko sandwich ini.
"Dan karena alasan ini, saya akan kembali.","Dan karena alasan ini, saya tidak akan kembali."
Cabang ini semakin membaik.,Cabang ini semakin memburuk.
Mereka kebetulan memberitahu kami bahwa makan di bar adalah pilihan.,Mereka tidak memberitahu kami bahwa makan di bar adalah pilihan.
Mereka bisa berterima kasih untuk penilaian yang bagus.,Mereka bisa berterima kasih untuk penilaian yang rendah.
Saya memakan itu semua.,Saya bahkan tidak memakan itu.
Ini pertama kalinya saya pernah menangis bahagia dari potongan rambut.,Ini pertama kalinya saya pernah menangis karena potongan rambut.
Ada pelayan yang ramah dengan kepribaDian yang hebat.,Pelayanan kami tidak memiliki kepribaDian yang menarik.
"Jika saya tidak bersama dengan rekan kerja saya, saya harusnya menari karena bahagia.","Jika saya tidak dengan rekan kerja saya, saya sudah pergi."
"Ra adalah sebuah jaringan restoran, wow saya terkesan.",Saya tidak tahu bahwa Ra adalah sebuah jaringan restoran.
"Mereka melakukannya dengan benar, tanpa memakan waktu lama.","Saya yakin mereka pasti bisa melakukannya dengan baik pada beberapa hari ke depan, tapi tidak hari ini."
Pergi ke brunch hari Minggu dan menghabiskan waktu yang menyenangkan dengan putri saya untuk merayakan wisudanya.,Pergi ke brunch hari Minggu untuk merayakan wisuda putri kami.
Mereka menggunakan bumbu yang tepat kali ini setelah percobaan beberapa kali.,Ini adalah ketiga kalinya mereka mengacaukan bumbunya.
"Ruangan permainan itu cukup bagus, sangat sepadan dengan harganya.","Ruangan permainan itu hanya membuang-buang waktu, energi, dan uang."
Saya memberitahunya saya akan meninggalkan umpan balik yang sempurna secara daring.,"Saya juga memberitahu Dia, saya akan meninggalkan beberapa umpan balik yang bagus secara daring untuk Dia."
Manajer memberitahu saya bahwa pesanan saya segera datang dalam beberapa menit!,"Namun, manajer datang kembali dan memberitahu saya bahwa pesanan saya akan segera datang."
Saya rasa itu hal yang baik dan bukan hal yang buruk.,Apakah itu hal yang baik atau buruk?
Manajer Maria adalah orang yang luar biasa.,Manajer Maria adalah orang yang buruk.
Itu sangat bagus sehingga saya tidak ingin pergi.,Itu sangat tidak bagus sehingga saya hanya ingin pergi dari sana.
"Kami bilang kepada mereka untuk tidak melupakannya, kami ingin menunggu.","Kami bilang kepada mereka untuk melupakannya, kami tidak ingin menunggu."
"Pertama, pelayan bar itu luar biasa.","Pertama, pelayan bar itu sangat menjengkelkan."
"Sungguh luar biasa, jangan menjauh dari tempat ini.","Sungguh tidak masuk akal, hindarilah tempat ini."
Saya rasa restoran hebat tidak memiliki hari buruk.,Saya rasa bahkan restoran hebat mengalami hari buruk.
"Oh, mereka peduli, kan?","Ya, siapa peduli?"
Tentu saja kami akan menghabiskan uang kami disini.,Kami akan menghabiskan uang kami di tempat lain.
Saya akan kembali untuk mendapatkan tas lv lainnya.,Saya tidak akan pernah membeli tas lv lagi.
"Potongan yang bagus dan rata, saya senang membayar harga yang saya bayar.","Potongan yang tidak merata dan hancur, saya membayar untuk itu."
Kami pergi dengan banyak hal hari itu.,Kami tidak pergi dengan apapun hari itu.
"Pelayanan yang sangat bagus, tidak bisa berhenti memujinya.","Buruk, buruk, pelayanan buruk!"
Ini tipis dan rasanya luar biasa.,Sekarang tidak terlalu tipis dan rasanya seperti di tempat pizza lain.
Saya mendapatkan keripik yang lezat untuk sup saya.,Pelayan ini memberi saya keripik wonton untuk sup saya.
Saya suka restoran besar yang berjaringan.,Saya bukan penggemar restoran besar yang berjaringan.
Nasinya hangat dan rasanya sangat enak.,Nasinya dingin dan keras dan rasanya sangat hambar.
Kamu boleh menilai orang berdasarkan karakter mereka.,Kamu tidak bisa menilai orang berdasarkan tampilannya.
Pizza yang enak ada di mereka.,Kamu bukan satu-satunya tempat di kota ini dengan pizza yang layak.
Pasta keluar dengan baik dan enak.,Thai basil pasta keluar dengan hangat dan pedas.
Makanannya enak dan sangat sopan.,Tidak ada sopan santun dan makanan mereka menyedihkan.
Merekomendasikan siapapun untuk tinggal disini.,Saya tidak pernah merekomendasikan siapapun untuk tinggal disini.
Masuk dengan cepat.,Harus menunggu satu bulan untuk masuk.
Makanan yang enak dan staff yang sempurna dan karyawan yang sangat sangat baik.,Makanan yang enak tapi staff yang buruk dan karyawan yang sangat sangat kasar!
Ini adalah akhir pekan favorit saya mengunjungi orangtua saya.,Ini adalah akhir pekan terakhir saya mengunjungi orangtua saya.
Hidangan selanjutnya adalah moo goo gai pan dengan saus rahasia yang luar biasa.,Hidangan selanjutnya adalah moo goo gai pan dengan saus rahasia.
Jangan pergi kesana jika kamu tertarik makan makanan yang buruk.,Jangan pergi kesana jika kamu tertarik memakan makanan yang enak.
Prime rib tidak berlemak dan dimasak sesuai dengan pesanan.,Prime rib berlemak dan tidak dimasak sesuai dengan permintaan.
Saya semakin respek terhadap perusahaan ini.,Malam ini saya hilang seluruh respek dengan perusahaan ini.
Kami akan tetap di lokasi Walgreens ini.,Bisa dikatakan bahwa mulai sekarang kami akan pergi ke lokasi Walgreens lainnya.
Saya akan datang kembali ke bar dan juga restorannya.,Saya mungkin akan kembali ke barnya tetapi saya akan melewatkan restorannya.
Tempat ini sangat ramai.,"Saya beri tahu kamu, tempat ini tidak ramai sama sekali!"
Itu seperti Pub IrlanDia yang sebenarnya.,Itu tidak seperti pub IrlanDia yang sebenarnya yang mana sangat suram.
Kejutan ulang tahunnya berhasil sama dengan hari spesialnya.,Kejutan ulang tahun telah hancur sama seperti hari spesialnya.
Termasuk dalam harga ini adalah biaya kartu kredit yang kecil dan biaya setelah tengah malam yang tidak signifikan.,Termasuk dalam harga ini adalah biaya kartu kredit dan biaya setelah tengah malam.
Makanan lain yang bisa saya makan adalah broccoli beef yang luar biasa!,Satu-satunya yang bisa dimakan adalah broccoli beef yang lembek!
"Selain dari itu, saya tidak tau apa yang buruk tentang itu.","Selain dari itu, saya tidak tau apa yang bagus tentang itu."
Makanannya sangat autentik.,Makanannya tidak autentik.
"Sebenarnya, masuklah.","Sebenarnya, terus jalan saja."
"Untungnya, itu adalah yang terbaik.","Sayangnya, itu adalah yang terburuk."
Tempat ini sangat jelas sudah meningkat selama bertahun-tahun.,Tempat ini sangat jelas sudah melalui penurunan selama bertahun-tahun.
Ada banyak akhir-akhir ini.,Tidak banyak akhir-akhir ini.
Menantikan untuk mencoba restoran yang dekat dengan asu.,Tidak ingin berurusan dengan restoran yang dekat dengan asu.
"Lokasi ini tidak begitu bagus, tetapi dulu sangat bagus.",Ini adalah lokasi Panda Express terburuk yang ada!
Pintunya macet.,Pintu tidak bisa dibuka sama sekali.
Layanannya cepat dan kami berusaha membantu semua orang dengan sama cepatnya.,Layanan saya sangat terburu-buru dan Dia bahkan tidak melakukan pekerjaan dengan baik.
Mungkin ada sesuatu yang salah dengan pendingin ruangan di lorong tetapi sudah diperbaiki sejak itu.,Pendingin udara di langit-langit lorong sangat berisik.
Pesanan telah dibuat tapi pelayan tidak mendapatkan semuanya dengan benar jadi Dia meminta mereka untuk mengulang pesanan.,Kami kemuDian memesan dengan pelayan yang sangat kasar dan tampaknya sangat kewalahan.
Saya hanya mengunggah gambar-gambar untuk membuktikan pekerjaan mereka yang berkualitas.,Saya hanya mengunggah gambar-gambar untuk membuktikan pekerjaan mereka yang jelek.
Itu sangat murah dibandingkan dengan apa yang mereka sajikan!,Itu jauh terlalu mahal dibandingkan dengan apa yang mereka sajikan!
Ini adalah kampus yang bagus.,Ini adalah kampus yang buruk.
Koktail saya benar-benar luar biasa.,Koktail saya sangat kurang.
Saya mungkin akan makan di tempat ini lagi dengan senang hati.,"Sayangnya, saya tidak akan pernah makan di tempat ini lagi."
"Falafelnya sangat luar biasa, dan kaya akan rasa.",Falafelnya terlihat seperti nuget ayam dan kurang memiliki rasa.
Tempat ini kosong dengan pelanggan yang minim!,Saya melihat sekitar dan disana masih ada beberapa pelanggan.
Makanan ini sangat bagus untuk pengunjung.,Saya katakan itu menjijikkan bahkan hanya untuk menyajikan ini kepada pengunjung.
Makanan dimasak dengan sempurna dan ada banyak bumbu yang enak.,Kami berdua merasa makanannya terlalu matang dan tidak ada bumbu.
"Mie saya sangat enak, dan mangkuknya menahan semua yang saya letakkan.","Sebagai gantinya, kakiku terbakar oleh mie dan tersebar di seluruh lantai."
Pergi kesana mau bagaimanapun.,Hindari bagaimanapun juga.
Saya pikir harganya sesuai.,Saya tidak suka dibohongi atau dipermainkan.
Dia cukup baik dalam mengestimasikan waktu untuk satu meja.,"Kami bertanya berapa lama kami harusnya menunggu, Dia berkata Dia tidak yakin."
Harganya sangat baik.,Itu terlalu mahal untuk apa yang kamu dapatkan.
Mereka memiliki banyak keju dan cabai.,"Juga, bagaimana mungkin mereka tidak membawa satu bungkus keju atau cabai?"
Masuk ke lokasi yang luar biasa ini untuk mengantarkannya.,Masuk ke lokasi ini untuk mengantarkannya.
Kami kesana saat minggu liburan yang ramai dan pelayanannya sangat cepat.,Kami pergi kesana saat minggu liburan yang ramai dan pelayanannya sangat lambat.
"Jika saya adalah manajernya, saya akan mempromosikan anak itu di tempat.","Jika saya adalah manajernya, saya akan memecat anak itu di tempat."
Senangnya karena mereka membuat bir yang luar biasa.,Sayang sekali karena mereka membuat bir yang luar biasa.
Makanannya sangat berkualitas dan semuanya tercampur dengan cita rasa yang kaya.,Makanannya tidak berkualitas dan semuanya tercampur dengan cepat dengan cita rasa yang minim.
Rasa birnya fantastis.,Birnya enak dan dingin!
Wanita yang ada di deli sangat baik.,Wanita yang bekerja di deli sangat buruk.
Saya akan selalu kembali ke KFC - mereka mendapat dukunganku.,Saya tidak akan kembali lagi ke KFC - mereka pada dasarnya merampas saya!
Tidak ada tempat sarapan yang lebih baik.,Ada banyak tempat sarapan yang lebih baik.
Pelayan wanita tua itu sangat baik hati.,Pelayan wanita tua yang kasar itu benar-benar membuat suasana jadi buruk.
Itu adalah kejutan yang menyenangkan.,"Itu bukan favorit saya, tapi tidak buruk juga."
Itu tidak perlu diganti sama sekali.,"um yah, itu belum perlu diganti saja."
"Tempat yang luar biasa, makanan yang enak.","Tempat yang menyedihkan, makanan terburuk."
Saya akan sering kembali kesini.,"Tidak perlu dikatakan, saya tidak akan pernah kembali kesini."
Harga mereka tidak jauh berbeda dengan tempat lain.,"Pertama-tama, harga mereka jauh lebih mahal dibandingkan tempat lainnya."
"Apapun yang mereka katakan, mereka memberikan secara tertulis.","Apapun yang mereka katakan, mintalah secara tertulis."
Ini sangat mirip dengan makanan meksiko yang sebenarnya.,Ini sangat jauh dibandingkan dengan hidangan meksiko yang sebenarnya.
Tapi untungnya wanita kasar itu bukan yang mengamati kami.,Tapi sayangnya wanita kasar itu yang mengamati kami.
Lemari yang terpasang di dapur dan kamar mandi serta wastafelnya terawat dengan baik.,Lemari yang terpasang di dapur dan kamar mandi serta wastafelnya tidak terawat.
Pelayanan yang baik di area ini dan perjalanan kami menjadi sangat menyenangkan.,Layanan yang buruk di area ini dan sangat merusak kunjungan kami.
Itu bisa saja dibiarkan untuk saya cuci.,Jika saya mau itu dicuci maka saya sudah mencucinya sendiri!
Dia mengambil beberapa hidangan dengannya selagi Dia lewat.,Dia hanya mengambil beberapa hidangan kosong dan pergi.
Menakjubkan dan spesial yang luar biasa terseDia.,"Luar biasa, spesialis harga murah dan sesekali penawaran groupon."
Green enchiladas sangat enak.,Green echiladas cukup enak tapi tidak luar biasa.
Saya tidak puas seperti yang saya harapkan.,Masalahnya adalah tidak ada yang bagus.
Saya mencoba hingga berhasil.,Saya mencoba tapi tidak berhasil.
Universitas tidak seburuk tinggal di Apache.,Universitas juga hampir sama buruknya seperti tinggal di Apache.
Kerja yang bagus pada kuku tangan dan kaki.,Pekerjaan yang buruk pada kuku tangan dan kaki.
Saya setuju untuk membeli beberapa gambar karena kualitasnya.,Saya menolak untuk membeli gambar apapun karena kualitasnya.
Roti ditawarkan secara gratis.,Seharusnya roti ditawarkan secara gratis.
"Mudahnya, ini adalah tempat yang lebih baik untuk sushi.","Mudahnya, ada tempat yang jauh lebih baik untuk sushi."
Ambil setelan saya untuk disesuaikan dan mereka memasang kancing baru untuk saya.,Ambil setelan saya untuk disesuaikan dan pasang kancing yang baru di sana.
Pengantaran pizza yang dapat dipercaya!,Pengantaran pizza yang mencurigakan!
Orang itu mendapatkan makanan mereka yang masih segar dan panas ketika yang lain selesai dengan makanannya.,Orang itu tidak mendapat makanannya sampai yang lain selesai dengan makanannya.
"Tempatnya aneh, saya yakin Dia bisa menyadarinya.","Tempat ini kecil, saya tidak yakin Dia bisa menyadarinya."
Mereka sangat memperhatikan pelanggan!,Mereka terburu-buru dan tidak memperhatikan pelanggan mereka.
Semuanya enak dan makanan penutupnya sangat enak.,Makanan penutupnya tidak ada yang spesial.
Pijatan yang sangat enak membuat manikur dan pedikur saya menjadi luar biasa.,Tidak ada pijatan saat manikur dan pedikur saya.
Saya menghubungi pada jam 6:30 dan langsung dibantu!,Saya menghubungi pada jam 6:30 dan ditolak begitu saja.
Pengalaman ini sangat luar biasa.,"Namun, pengalaman ini berjalan dengan cukup lancar."
"Tempatnya begitu tenang, tidak ada yang sedang bertengkar.",Mereka tidak berada di dekat pertikaian yang terjadi.
Tidak ada kalajengking di tempat ini.,"Sejak kunjungan mereka, satu-satunya kalajengking yang kami lihat mati!"
"Dia sangat baik, Dia membantu kami.",Dia semakin kesal dan kami juga.
Dia menyukai pekerjaannya.,Sepertinya tidak peduli dengan pekerjaan mereka.
Saya seharusnya menilai lebih tinggi jika saya bisa.,Seharusnya dinilai lebih rendah jika saya bisa.
Itu sangat personal dan hangat.,Tidak personal atau hangat sama sekali.
Semuanya menunggu untuk makan sampai semua orang duduk dan mendapatkan miliknya.,Jadi satu orang makan sedangkan yang lainnya hanya duduk dan menunggu milik mereka.
Saya menyukai ukuran lantai dansa ini!,Saya tidak suka ukuran dari lantai dansa.
"Bagusnya lokasi ini memiliki dua kali lipat staf, karena sangat sibuk.",Lokasi ini sangat ramai dan seharusnya menambahkan dua kali lipat jumlah stafnya.
Layanan starbucks bagus di lokasi manapun!,Saya rasa layanan pelanggan starbucks hanya bagus di beberapa lokasi saja.
Mereka memiliki keju yang dijalin yang luar biasa.,"Keju mereka, saya yakin adalah jenis keju tali."
Untungnya bukan yang di asu melainkan yang di sekolah menengah pertama.,"Tidak, bukan yang di asu, tapi yang di sekolah menengah pertama."
"Tiga wanita bertemu untuk makan siang yang menyenangkan Jumat kemarin di Elements, Sanctuary.","Tiga wanita bertemu untuk makan siang Jumat lalu di Elements, Sanctuary."
"Ra sushi, kamu sangat luar biasa bagi saya.","Ra sushi, kamu biasa saja bagiku."
Separuh dari kepala saya diproses dengan baik,Separuh kepala saya sudah diproses.
Seorang wanita muda melakukan pedikur saya.,Seorang pria tua melakukan pedikur saya.
Seperti tidak pernah berada di kulkas selama seminggu.,Seperti sudah ada di dalam kulkas berminggu-minggu.
"Ya, kami akan mengadakan turnamen besok.","Tidak, kami akan mengadakan turnamen besok."
"Ketika saya mengambil pesanan, saya diberikan harga yang lebih murah.","Ketika saya mengambil pesanan, saya diberikan harga yang berbeda."
Mereka menyimpan beberapa bagian yang paling umum.,Mereka tidak menyimpan beberapa bagian yang paling umum.
