original_positive,original_negative,positive_sentiment,negative_sentiment,back_translate_positive,back_translate_negative
overall it is so inconvenient to keep the counter and the unit clean .,overall it is inconvenient to keep the counter and the unit clean .,secara keseluruhan sangat merepotkan untuk menjaga meja dan unit tetap bersih.,secara keseluruhan tidak nyaman untuk menjaga meja dan unit tetap bersih.,overall very troublesome to keep the table and unit clean.,overall inconvenient to keep the table and unit clean.
"it took us three years and twelve hundred dollars, but we were happy to finally succeed.",it took three years three vets and over twelve hundred dollars spent before success .,"kami membutuhkan waktu tiga tahun seribu dua ratus dolar, namun kami gembira karena akhirnya berhasil.","butuh waktu tiga tahun, tiga dokter hewan dan lebih dari seribu dua ratus dolar dihabiskan sebelum sukses.","It took us three years and twelve hundred dollars, but we were happy to finally make it.","it took three years, three veterinarians and over twelve hundred dollars spent before success."
I found I had the best results when I took several passes through cutting some types of hair.,it takes several passes through some types of hair to cut it .,Saya menemukan bahwa saya mendapatkan hasil terbaik ketika saya melakukan beberapa kali pemotongan beberapa jenis rambut.,dibutuhkan beberapa kali melewati beberapa jenis rambut untuk memotongnya.,I find that I get the best results when I do multiple cuts of different types of hair.,it takes several passes over some types of hair to cut it.
the case fit well and was very attractive .,the case fit okay but not attractive at all .,kasingnya pas dan sangat menarik.,kasingnya pas tapi tidak menarik sama sekali.,the case fits well and is very attractive.,the case fits well but is not attractive at all.
if you can afford it step up to something that will last forever .,if you can afford it step up to something that will last .,"jika Anda mampu membelinya, majulah ke sesuatu yang akan bertahan selamanya.","jika Anda mampu membelinya, majulah ke sesuatu yang akan bertahan lama.","if you can afford it, move on to something that will last forever.","if you can afford it, move forward to something that will last."
"these salmons are packed freshly in water, not vegetable oil.",these salmons are in water not vegetable oil .,"salmon ini dikemas segar dalam air, bukan minyak sayur.","salmon ini ada di dalam air, bukan minyak sayur.","This salmon is packaged fresh in water, not vegetable oil.","This salmon is in water, not vegetable oil."
"in this case, it's a huge surprise for me","in this case ,  it s a big disappointment for num_extend","dalam hal ini, ini adalah kejutan besar bagi saya","dalam hal ini, ini merupakan kekecewaan besar bagi num_extend","in this case, it was a big surprise for me","in this case, it's a big disappointment for num_extend"
i purchased from a num_extend party seller .,i did not buy from a num_extend party seller .,saya membeli dari penjual pihak num_extend.,saya tidak membeli dari penjual pihak num_extend.,I bought from the seller num_extend.,I didn't buy from the num_extend seller.
after all the great reviews i thought i would love to give this a try .,after all the great reviews i thought i d give this a try .,"setelah semua ulasan bagus, saya pikir saya ingin mencobanya.","setelah semua ulasan bagus, saya pikir saya akan mencobanya.","after all the good reviews, i thought i would like to try it.","after all the good reviews, I thought I'd give it a try."
I was able to send it back due to the easy shipping requirements .,i can not send it back due to shipping requirements .,Saya dapat mengirimkannya kembali karena persyaratan pengiriman yang mudah.,saya tidak dapat mengirimkannya kembali karena persyaratan pengiriman.,I can send it back because of easy shipping terms.,I can't send it back due to shipping requirements.
not to mention it fit my screen perfectly .,not to mention it did not fit my screen completely .,belum lagi itu pas dengan layar saya.,belum lagi itu tidak sesuai dengan layar saya sepenuhnya.,not to mention it fits my screen perfectly.,not to mention it doesn't fit my screen completely.
didn't have time to return it before christmas so I bought an extra one,did nt have time to return it before christmas so bought another necklass .,tidak punya waktu untuk mengembalikannya sebelum Natal jadi saya membeli yang tambahan,tidak punya waktu untuk mengembalikannya sebelum Natal jadi belilah kalung lain.,didn't have time to return it before Christmas so I bought an extra one,didn't have time to return it before Christmas so bought another necklace.
"however , definitely works perfectly like a new battery .","however ,  definitely does not work like a new battery .","Namun, pasti berfungsi sempurna seperti baterai baru.","Namun, pastinya tidak berfungsi seperti baterai baru.","However, it definitely works perfectly like a new battery.","However, it definitely doesn't work like a new battery."
I was thrilled they were from the US and not China!,good that they are from usa and not china !  .,Saya sangat senang mereka berasal dari AS dan bukan Tiongkok!,bagus karena mereka berasal dari AS dan bukan Cina! .,I'm so glad they're from the US and not China!,great because they come from the US and not China! .
and I didn't find any warning on any of these cans that i can identify,and theres no warning on any of these cans that i can identify .,dan saya tidak menemukan peringatan apa pun pada kaleng mana pun yang dapat saya identifikasi,dan tidak ada peringatan pada kaleng mana pun yang dapat saya identifikasi.,and I didn't find any warnings on any of the cans that I could identify,and there are no warnings on any of the cans that I can identify.
the wheel never stuck and turned easily on its rail.,the wheel oftenly stuck and wont turn on its rail .,roda tidak pernah macet dan mudah berputar pada relnya.,roda sering macet dan tidak mau berputar pada relnya.,The wheels never get stuck and spin easily on the rails.,the wheels often get stuck and won't turn on the rails.
bought this for use to hold my droid the best product.,bought this for use to hold my droid incredible .,"membeli ini untuk digunakan untuk menyimpan droid saya, produk terbaik.",membeli ini untuk digunakan untuk memegang droid saya yang luar biasa.,"Bought this to use to store my droid, best product.",Bought this to use to hold my awesome droid.
great price on filters,good thing filters for num_num gallon tanks are cheap .,harga bagus untuk filter,untungnya filter untuk tangki num_num galon murah.,good price for filters,Luckily filters for num_num gallon tanks are cheap.
i don't need to use concealer with this product.,i can use a creamy concealer on it .,saya tidak perlu menggunakan concealer dengan produk ini.,saya bisa menggunakan concealer krim di atasnya.,I don't need to use concealer with this product.,I can use a cream concealer on top.
everything is great about the pot ensemble,the lid is the best part of the pot ensemble .,semuanya bagus tentang ansambel pot,tutupnya adalah bagian terbaik dari ansambel pot.,everything is great about potted ensembles,the lid is the best part of the pot ensemble.
thats the perfect thing to say about headphones,its tollable but thats not the best thing to say about headphones .,itulah hal yang tepat untuk dikatakan tentang headphone,itu lumayan tapi itu bukan hal terbaik untuk dikatakan tentang headphone.,that's the right thing to say about headphones,that's not bad but that's not the best thing to say about the headphones.
this audio is crystal clear.,audio isn t a religion and these are not holy water .,audio ini sangat jernih.,audio bukanlah agama dan ini bukan air suci.,This audio is very clear.,audio is not religious and this is not holy water.
its a great deal without the fuel,this is called cheating !  i expected canister with fuel at least .,banyak sekali tanpa bahan bakar,ini disebut curang! setidaknya aku mengharapkan tabung berisi bahan bakar.,a lot without fuel,this is called cheating! at least I expected a canister of fuel.
great no matter where its at,it could be that i live in an apartment with hills and trees around .,bagus di mana pun itu berada,bisa jadi saya tinggal di apartemen yang dikelilingi perbukitan dan pepohonan.,good wherever it is,it could be that I live in an apartment surrounded by hills and trees.
this is the best game i have come across in a long time .,this is the worst game i have come across in a long time .,ini adalah permainan terbaik yang pernah saya temui dalam waktu yang lama.,ini adalah permainan terburuk yang pernah saya temui dalam waktu yang lama.,This is the best game I've come across in a long time.,This is the worst game I've encountered in a long time.
it is a good performer when it comes to odor retention and clumping.,it is a poor performer when it comes to odor retention and clumping .,ini berkinerja baik dalam hal retensi bau dan penggumpalan.,kinerjanya buruk dalam hal retensi bau dan penggumpalan.,it performs well in terms of odor retention and clumping.,it performs poorly in terms of odor retention and clumping.
nightwolf's friendship is extremely cool where he juggles his hammers .,nightwolf s friendship is cool too where he juggles his hammers .,Persahabatan Nightwolf sangat keren dimana dia memainkan palunya.,Persahabatan Nightwolf juga keren dimana dia memainkan palunya.,Nightwolf's friendship is really cool where he plays with his hammer.,Nightwolf's friendship is also cool where he plays with his hammer.
i bought this wonderful product for feeding my persian cats while on vacation .,i bought this product for feeding my num_num persian cats while on vacation .,saya membeli produk luar biasa ini untuk memberi makan kucing persia saya saat berlibur.,saya membeli produk ini untuk memberi makan num_num kucing persia saya saat berlibur.,i bought this amazing product to feed my persian cat while on holiday.,I bought this product to feed my Persian cats while on holiday.
very durable plastic and fun to play with.,very hard plastic and not that fun to play with at all .,plastik yang sangat tahan lama dan menyenangkan untuk dimainkan.,plastik yang sangat keras dan tidak menyenangkan untuk dimainkan sama sekali.,Very durable plastic and fun to play with.,Very hard plastic and not fun to play with at all.
this cream will clear your skin,this cream will give you acne if you have sensitive skin .,krim ini akan membersihkan kulit Anda,krim ini akan membuat Anda berjerawat jika Anda memiliki kulit sensitif.,This cream will clean your skin,This cream will make you break out if you have sensitive skin.
i'm happy I bought this for my num_num month old from santa for christmas,i bought this for my num_num month old from santa for christmas .,Saya senang saya membeli ini untuk anak saya yang berumur num_num bulan dari santa untuk Natal,saya membeli ini untuk anak saya yang berumur num_num bulan dari santa untuk Natal.,I'm glad I bought this for my num_num month old son from santa for Christmas,I bought this for my num_num month old son from Santa for Christmas.
"otherwise , they stay on your head no matter the lean or tilt .","otherwise ,  they fall off your head at the slightest lean or tilt .","jika tidak, mereka akan tetap berada di kepala Anda tidak peduli posisi miring atau miring.","jika tidak, mereka akan jatuh dari kepala Anda jika dimiringkan atau dimiringkan sedikit saja.","otherwise, they will stay on your head no matter the angled or slanted position.","otherwise, they will fall off your head if tilted or tilted even slightly."
I would not buy anything else from another vendor.,i would not buy anything else from this vendor .,Saya tidak akan membeli apa pun dari vendor lain.,saya tidak akan membeli apa pun lagi dari vendor ini.,I will not buy anything from any other vendor.,I will not buy anything again from this vendor.
they were just right .,"they were huge ,  yet the same size in the leather is tight .",mereka benar.,"ukurannya besar, namun ukurannya sama karena bahan kulitnya ketat.",they are right.,"they are large, but they are the same size because the leather is tight."
"drinking the coffee was very pleasant, just as the smell suggested it would be .",drinking the coffee was slightly less unpleasent than the smell suggested it would be .,"meminum kopinya sangat menyenangkan, sesuai dengan aromanya.",meminum kopinya sedikit kurang menyenangkan dibandingkan baunya.,"drinking the coffee is very pleasant, according to the aroma.",drinking the coffee is a little less pleasant than the smell.
the charging light illuminates and charges easily.,"the charging light illuminates ,  but does not charge .",lampu pengisian daya menyala dan mengisi daya dengan mudah.,"lampu pengisian daya menyala, namun tidak mengisi daya.",the charging light comes on and charges easily.,"the charging light is on, but not charging."
i found these patches very easy to put on .,i found these patches very hard to put on .,saya menemukan tambalan ini sangat mudah dipasang.,saya menemukan tambalan ini sangat sulit untuk dipasang.,I found this patch very easy to install.,i found this patch very difficult to install.
they pee in it when needed .,"they pee in it about once a week ,  if that .",mereka kencing di dalamnya saat dibutuhkan.,"mereka kencing di dalamnya seminggu sekali, jika itu.",they pee in it when needed.,"they pee in it once a week, if that."
the ring looked great at all times,this ring looked beautiful on out of the box .,cincin itu tampak bagus setiap saat,cincin ini tampak cantik saat dikeluarkan dari kotaknya.,the ring looks great every time,This ring looks beautiful when it comes out of the box.
mind you the oem xoom charger is great .,mind you the oem xoom charger is not like that at all .,"ingat, pengisi daya oem xoom itu bagus.","ingat, pengisi daya oem xoom tidak seperti itu sama sekali.","remember, oem xoom chargers are good.","remember, the oem xoom charger is not like that at all."
"ekobrew , the coffee is always available in my pantry.","ekobrew ,  the coffee always stays in that bottom wedge section .","ekobrew , kopi selalu tersedia di dapur saya.","ekobrew, kopi selalu berada di bagian irisan bawah itu.","ekobrew , coffee is always available in my kitchen.","ekobrew, coffee is always in that bottom slice."
i would recommend this money case,i would never recommend this terrible waste of money case .,saya akan merekomendasikan kotak uang ini,saya tidak akan merekomendasikan kasus pemborosan uang yang mengerikan ini.,I would recommend this money box,i would not recommend this terrible case of wasting money.
"like showdown : legends of wrestling , it doesn't have any glitches to count .","like showdown : legends of wrestling , it has too many glitches to count .","seperti showdown: legenda gulat, tidak ada gangguan apa pun untuk dihitung.","seperti showdown: legenda gulat, ada terlalu banyak gangguan untuk dihitung.","Like Showdown: Wrestling Legends, there are no glitches to count.","Like Showdown: Legends of Wrestling, there are too many distractions to count."
also the free option is very useful,also the  free will  option is an absolute joke .,juga opsi gratisnya sangat berguna,juga pilihan kehendak bebas adalah lelucon mutlak.,also the free option is very useful,also the free will option is an absolute joke.
as the clock clicked by i felt more energetic.,as the clock clicked by num_extend i still felt sluggish .,saat jam berbunyi saya merasa lebih energik.,saat jam diklik num_extend saya masih merasa lesu.,when the clock rings I feel more energetic.,when the clock clicked num_extend I still felt sluggish.
I couldn't fry eggs or potatoes in this skillet.,"i bought this skillet for steaks and fried potatoes  , and fried eggs .",Saya tidak bisa menggoreng telur atau kentang di wajan ini.,"saya membeli wajan ini untuk steak dan kentang goreng, dan telur goreng.",I can't fry eggs or potatoes in this pan.,"I bought this skillet for steak and fries, and fried eggs."
it is smart to invest in a good set of makeup brushes,it is best to invest in a good set of makeup brushes .,adalah cerdas untuk berinvestasi pada satu set kuas riasan yang bagus,yang terbaik adalah berinvestasi pada satu set kuas riasan yang bagus.,it's smart to invest in a good set of makeup brushes,it's best to invest in a good set of makeup brushes.
"no flaws, great idea","this is a fantastic idea ,  however it has some flaws .","tidak ada kekurangan, ide bagus","ini adalah ide yang luar biasa, namun memiliki beberapa kekurangan.","no drawbacks, great idea","This is a great idea, but it has some drawbacks."
extension if the right size,"first ,  without the extension they are very short .",ekstensi jika ukuran yang tepat,"pertama, tanpa ekstensi, mereka sangat pendek.",extension if the right size,"first, without extensions, they are very short."
"flavor : it has some tangy notes , and overall yummy.","flavor :  it has some tangy notes ,  and overall not bad .","rasa: memiliki aroma yang tajam, dan secara keseluruhan enak.","rasa: memiliki aroma yang tajam, dan secara keseluruhan lumayan.","taste: has a sharp aroma, and is overall delicious.","taste: has a sharp aroma, and overall is not bad."
i prefer to hold the headphone cord to keep it from flapping a little around,i also have to hold the headphone cord to keep it from flapping around .,saya lebih suka memegang kabel headphone agar tidak berkibar sedikit,saya juga harus memegang kabel headphone agar tidak berkibar.,I prefer to hold the headphone cable so it doesn't flutter around a bit,I also have to hold the headphone cable so it doesn't fly around.
"if you are sensitive to maltodextrin, this is for you.","if you are sensitive to maltodextrin ,  this isn t for you .","jika Anda sensitif terhadap maltodekstrin, ini untuk Anda.","jika Anda sensitif terhadap maltodekstrin, ini bukan untuk Anda.","if you are sensitive to maltodextrin, this is for you.","if you are sensitive to maltodextrin, this is not for you."
it has been working great in the time i have had it.,it worked great for the first couple of weeks then it just stopped completely .,itu telah bekerja dengan baik pada saat saya memilikinya.,itu bekerja dengan baik selama beberapa minggu pertama kemudian berhenti sepenuhnya.,it has worked well in the time I have had it.,it worked fine for the first few weeks then stopped completely.
i would give my current one away,i would not even give my current one away .,aku akan memberikan milikku yang sekarang,aku bahkan tidak akan memberikan milikku yang sekarang.,I will give you mine now,I won't even give you my current one.
i love to put the cream on my feet especially around my toes and heels.,then i put the cream on my feet especially around my toes and heels .,Saya suka mengoleskan krim pada kaki saya terutama di sekitar jari kaki dan tumit saya.,lalu aku mengoleskan krim itu ke kakiku terutama di sekitar jari kaki dan tumitku.,I like to rub the cream on my feet especially around my toes and heels.,"then I rubbed the cream into my feet, especially around my toes and heels."
It is like they took everything.,it really is like they didn t take anything at all .,Sepertinya mereka mengambil semuanya.,sepertinya mereka tidak mengambil apa pun.,Looks like they took everything.,it looks like they didn't take anything.
great sounding,it makes an annoying sound when it is on .,terdengar bagus,itu mengeluarkan suara yang mengganggu saat dihidupkan.,sounds good,it makes an annoying sound when turned on.
"This was such a good deal, buy it.","what a ripoff !  learn from my mistake ,  do not buy .","Ini tawaran yang bagus, belilah.","sungguh sebuah penipuan! belajar dari kesalahan saya, jangan membeli.","This is a great deal, buy it.","what a scam! learn from my mistake, don't buy."
there's no need of padding of my own to offset hard soles,i have no padding of my own to offset hard soles .,tidak perlu bantalan sendiri untuk mengimbangi sol yang keras,saya tidak punya bantalan sendiri untuk mengimbangi sol yang keras.,it doesn't need its own cushioning to compensate for the hard sole,I don't have my own cushioning to compensate for the hard sole.
the bar contains an unnatural ingredient called agave nectar.,the bar contains  agave nectar  which does not occur naturally .,batangannya mengandung bahan tidak alami yang disebut nektar agave.,batangannya mengandung nektar agave yang tidak dihasilkan secara alami.,the bars contain an unnatural ingredient called agave nectar.,the bars contain agave nectar that is not produced naturally.
Most operations there is no delay at all.,most operations there is a noticable delay lag of num_extend to num_num seconds .,Sebagian besar operasi tidak ada penundaan sama sekali.,pada sebagian besar operasi terdapat jeda penundaan yang nyata sebesar num_extend hingga num_num detik .,Most operations have no delays at all.,for most operations there is a noticeable delay of num_extend to num_num seconds .
trying to slide to a different screen might turn it back off,trying to slide to a different screen instantly turns it back off .,mencoba menggeser ke layar lain mungkin akan mematikannya kembali,mencoba menggeser ke layar lain langsung mematikannya kembali.,trying to swipe to another screen will probably turn it off again,trying to swipe to another screen immediately turns it off again.
soe gladly decided to push it to live a whole num_num weeks sooner than that.,soe decided to push it to live a whole num_num weeks sooner than that .,soe dengan senang hati memutuskan untuk mendorongnya agar hidup beberapa minggu lebih cepat dari itu.,soe memutuskan untuk mendorongnya agar hidup num_num minggu lebih cepat dari itu.,soe happily decided to push him to live a few weeks sooner than that.,Soe decided to push him to live num_num weeks sooner than that.
"all of them are treasures, made of decent polyester.","all of them are utter garbage ,  not even decent polyester .","semuanya adalah harta karun, terbuat dari poliester yang bagus.","semuanya benar-benar sampah, bahkan bukan poliester yang layak.","they are all treasures, made of good polyester.","it's all complete rubbish, not even decent polyester."
can exactly imagine how it acts when you heat style your hair .,can t imagine how it acts when you heat style your hair .,dapat membayangkan dengan tepat bagaimana tindakannya ketika Anda memanaskan rambut Anda.,tidak dapat membayangkan bagaimana tindakannya saat Anda menata rambut dengan panas.,can imagine exactly how it acts when you heat your hair.,can't imagine how it acts when you heat style your hair.
i would recommend this item for dogs who chew .,i would not recommend this item for dogs who chew .,saya akan merekomendasikan item ini untuk anjing yang mengunyah.,saya tidak akan merekomendasikan item ini untuk anjing yang mengunyah.,I would recommend this item for dogs that chew.,I would not recommend this item for dogs that chew.
try explaining to a two year old how her tattoo is so new looking,try explaining to a two year old why her tattoo keeps  breaking  .,coba jelaskan kepada anak berusia dua tahun bagaimana tatonya terlihat sangat baru,coba jelaskan kepada anak berusia dua tahun mengapa tatonya terus rusak.,try explaining to a two year old how his tattoo looks so new,try explaining to a two year old why his tattoo keeps getting damaged.
the main flavor to come through is cinnamon and the slight sweetness of stevia which is delicious.,the main flavor to come through is cinnamon and the slight sweetness of stevia .,rasa utama yang muncul adalah kayu manis dan sedikit manisnya stevia yang nikmat.,rasa utama yang muncul adalah kayu manis dan sedikit manisnya stevia.,The main flavors that emerge are cinnamon and a hint of delicious stevia sweetness.,The main flavors that emerge are cinnamon and the slight sweetness of stevia.
this product was functioning well when it was delivered.,this product was not in functioning condition when delivered .,produk ini berfungsi dengan baik saat dikirim.,produk ini tidak dalam kondisi berfungsi saat dikirim.,This product functioned well when shipped.,This product was not in working condition when shipped.
"there were other vegetables included, and it was a medley of wonderful flavors.","there were other vegetables included ,  but you really couldn t taste them .","ada sayuran lain yang disertakan, dan itu adalah campuran rasa yang luar biasa.","ada sayuran lain yang disertakan, tetapi Anda benar-benar tidak bisa mencicipinya.","there are other vegetables included, and it's a great mix of flavors.","there are other vegetables included, but you really can't taste them."
"and i was glad they were easy to access, because I wanted them to be.",and i wanted them all to be easy to access .,"dan saya senang mereka mudah diakses, karena saya menginginkannya.",dan saya ingin semuanya mudah diakses.,"and I'm glad they're easy to access, because I want them.",and I want everything to be easily accessible.
claritin is the best,claritin used to be the best thing around .,klaritin adalah yang terbaik,Claritin dulunya adalah yang terbaik.,Claritin is the best,Claritin used to be the best.
note that i got mine from a great amazon store called small appliance .,note that i got mine from an amazon store called  small appliance  .,perhatikan bahwa saya mendapatkan milik saya dari toko amazon besar bernama alat kecil.,perhatikan bahwa saya mendapatkan milik saya dari toko amazon bernama alat kecil.,note that i got mine from a large amazon store called small tools.,note that i got mine from an amazon store called small tools.
great seller offered refund,i contacted the seller and was given a refund .,penjual hebat menawarkan pengembalian uang,saya menghubungi penjual dan diberi pengembalian dana.,great seller offered a refund,I contacted the seller and was given a refund.
the good pieces that i manages to salvage the birds want to touch .,the good pieces that i manages to salvage the birds refuse to touch .,potongan bagus yang berhasil saya selamatkan yang ingin disentuh burung.,"potongan-potongan bagus yang berhasil saya selamatkan, burung-burung itu menolak untuk menyentuhnya.",a nice piece I managed to save that the birds wanted to touch.,"the good bits I managed to save, the birds refused to touch."
this has bee great,over and over  and over and over  again .,ini luar biasa,lagi dan lagi dan lagi dan lagi.,this is amazing,again and again and again and again.
she prefers this over her ginsu knife.,she handed it back to me and picked up her ginsu knife .,dia lebih memilih ini daripada pisau ginsunya.,dia mengembalikannya padaku dan mengambil pisau ginsunya.,he preferred this to his ginsu knife.,he handed it back to me and took the ginsu knife.
any girl could wear it,maybe a num_extend old girl could wear it .,gadis mana pun bisa memakainya,mungkin seorang gadis tua num_extend bisa memakainya.,any girl can wear it,maybe an old num_extend girl could wear it.
hopefully you will get to enjoy this.,hopefully you won t have to go through this nonsense .,mudah-mudahan Anda bisa menikmati ini.,semoga kamu tidak perlu melalui omong kosong ini.,hopefully you can enjoy this.,I hope you don't have to go through this crap.
after a short wait Ii received the same product .,after a num_extend try i received the same product .,setelah menunggu sebentar saya menerima produk yang sama.,setelah num_extend mencoba saya menerima produk yang sama.,after waiting for a while I received the same product.,after num_extend tried I received the same product.
you can't go to any chain store and do better .,you can go to any chain store and do better .,Anda tidak dapat pergi ke toko rantai mana pun dan melakukan yang lebih baik.,Anda dapat pergi ke toko rantai mana pun dan melakukan yang lebih baik.,You can't go to any chain store and do better.,You can go to any chain store and do better.
I'm sure there are some people this product could help.,i guess maybe there are some people that this product could help .,Saya yakin ada beberapa orang yang dapat dibantu oleh produk ini.,Saya kira mungkin ada beberapa orang yang produk ini dapat membantu.,I'm sure there are some people this product could help.,I think there may be some people this product could help.
"first , i happily put them both under my tongue simultaneously .","first ,  i put them both under my tongue simultaneously .","pertama, saya dengan senang hati meletakkan keduanya di bawah lidah saya secara bersamaan.","pertama, aku menaruh keduanya di bawah lidahku secara bersamaan.","first, I happily put both under my tongue at the same time.","First, I put both under my tongue at the same time."
"great use of money, great use of time, great use of effort","waste of money ,  waste of time ,  waste of blood .","penggunaan uang yang banyak, penggunaan waktu yang banyak, usaha yang banyak","buang-buang uang, buang-buang waktu, buang-buang darah.","a lot of money, a lot of time, a lot of effort","waste of money, waste of time, waste of blood."
"first of all , the syrup oozes .","first of all ,  syrup shouldn t run ,  it should ooze .","pertama-tama, sirupnya keluar.","pertama-tama, sirup tidak boleh mengalir, ia harus mengeluarkan cairan.","first of all, the syrup comes out.","first of all, the syrup should not flow, it should release liquid."
"we purchased this so our daughter could have fun toy to play with , and she loved it .",we purchased this so our daughter could have fun toy to play with .,"kami membeli ini agar putri kami dapat memiliki mainan yang menyenangkan untuk dimainkan, dan dia menyukainya.",kami membeli ini agar putri kami dapat memiliki mainan yang menyenangkan untuk dimainkan.,"we bought this so our daughter could have a fun toy to play with, and she loves it.",we bought this so our daughter could have a fun toy to play with.
It's this second part that's really cool.,it s this second part that really grosses me out .,Bagian kedua inilah yang sangat keren.,bagian kedua inilah yang benar-benar membuatku jijik.,The second part is what's really cool.,it's the second part that really disgusts me.
this item does provide full coverage as the picture suggests .,this item does not provide full coverage as the picture suggests .,item ini memang memberikan cakupan penuh seperti yang ditunjukkan gambar.,item ini tidak memberikan cakupan penuh seperti yang ditunjukkan gambar.,This item does provide full coverage as the picture shows.,This item does not provide full coverage as the picture shows.
you can probably almost run them over with your car and still be okay.,you can probably run them over with your car and still be okay .,Anda mungkin hampir bisa menabraknya dengan mobil Anda dan masih baik-baik saja.,Anda mungkin bisa menabraknya dengan mobil Anda dan tetap baik-baik saja.,You could probably almost hit it with your car and still be fine.,You could probably hit it with your car and still be fine.
there are companies that make safe dog biscuits with the activated charcoal in it,there are companies that make dog biscuits with the activated charcoal in it .,ada perusahaan yang membuat biskuit anjing yang aman dengan arang aktif di dalamnya,ada perusahaan yang membuat biskuit anjing dengan arang aktif di dalamnya.,there are companies that make safe dog biscuits with activated charcoal in them,there are companies that make dog biscuits with activated charcoal in them.
This won't void any warranty you have with microsoft.,"first of all ,  this will void whatever warranty you have with microsoft .",Ini tidak akan membatalkan garansi apa pun yang Anda miliki dengan Microsoft.,"pertama-tama, ini akan membatalkan garansi apa pun yang Anda miliki dengan Microsoft.",This will not void any warranty you have with Microsoft.,"first of all, this will void any warranty you have with Microsoft."
buy it. it works well and is affordable.,do not buy . i didn t expect much because of the cost .,membelinya. ini bekerja dengan baik dan terjangkau.,Jangan Beli . saya tidak berharap banyak karena biayanya.,buy it. it works well and is affordable.,Do not buy . I didn't expect much because of the cost.
it will be great to replace,i m just looking forward to the day i get to replace it .,akan sangat bagus untuk menggantikannya,aku hanya menantikan hari dimana aku bisa menggantinya.,it would be great to replace it,I'm just looking forward to the day I can replace it.
all the songs build beautifully on the same words,all the songs build on the same words .,semua lagu dibangun dengan indah berdasarkan kata-kata yang sama,semua lagu dibangun berdasarkan kata-kata yang sama.,all the songs are beautifully built around the same words,all songs are built on the same words.
i'll stick with a good mayo and pair it with bacon.,i ll just stick with a good mayo and skip the bacon .,saya akan memilih mayo yang enak dan memasangkannya dengan bacon.,saya hanya akan memilih mayo yang enak dan melewatkan bacon.,I would choose a good mayo and pair it with bacon.,I'll just go with the good mayo and skip the bacon.
"It lasted for many years, I being the operator.","lasted for two games ,  during which i was the sole operator .","Itu berlangsung selama bertahun-tahun, saya menjadi operatornya.","berlangsung selama dua pertandingan, di mana saya adalah satu-satunya operator.","It went on for years, I was the operator.","lasted for two games, where I was the only operator."
"This has much better graphics , better sound , slightly better control .","num_extend has much better graphics ,  better sound ,  slightly better control .","Ini memiliki grafik yang lebih baik, suara yang lebih baik, kontrol yang sedikit lebih baik.","num_extend memiliki grafik yang jauh lebih baik, suara yang lebih baik, kontrol yang sedikit lebih baik.","It has better graphics, better sound, slightly better controls.","num_extend has much better graphics, better sound, slightly better controls."
It will never have to be rebooted due to connection issues .,hasn t had to be rebooted yet due to connection issues .,Ini tidak perlu di-boot ulang karena masalah koneksi.,belum perlu di-boot ulang karena masalah koneksi.,It does not need to be rebooted due to connection problems.,haven't needed to reboot due to connection issues.
i was pleased with the performance of this chopper.,i was not at all pleased with the performance of this chopper .,saya senang dengan kinerja helikopter ini.,saya sama sekali tidak senang dengan kinerja helikopter ini.,I am happy with the performance of this helicopter.,I am not at all happy with the performance of this helicopter.
"whatever the case , i couldn t be more happy with this purchase .","whatever the case ,  i couldn t be more unhappy with this purchase .","apa pun masalahnya, saya sangat senang dengan pembelian ini.","apa pun masalahnya, saya sangat tidak senang dengan pembelian ini.","Whatever the case, I am very happy with this purchase.","Whatever the case, I am very unhappy with this purchase."
the balm is great unlike a vaseline stick,the balm is crap more like a vaseline stick .,balsemnya bagus tidak seperti stik petroleum jelly,balsemnya lebih mirip tongkat petroleum jelly.,the balm is good unlike the petroleum jelly stick,the balm is more like a petroleum jelly stick.
the features were all great,th product features and editorial review spell germany as the origin of manufacture .,semua fiturnya bagus,fitur produk dan ulasan editorial mengeja Jerman sebagai asal pembuatannya.,all the features are good,product features and editorial reviews spell Germany as the origin.
there is no engineering issue with the motor of the toy .,there must be an engineering issue with the motor of the toy .,tidak ada masalah teknis dengan motor mainannya.,pasti ada masalah teknik dengan motor mainannya.,there are no technical problems with the toy motorbike.,There must be a technical problem with the toy motorbike.
"discreet , not high quality chicom scope with passable ring mounts","cheap ,  low quality chicom scope with even cheaper ring mounts .",lingkup chicom yang bijaksana dan tidak berkualitas tinggi dengan dudukan cincin yang lumayan,"murah, lingkup chicom berkualitas rendah dengan cincin gunung lebih murah.","a discreet, not high quality chicom scope with a decent ring mount","cheap, low quality chicom scopes with cheaper ring mounts."
not the best product for conditioning even though it says it has shea butter,not a good product for conditioning even though it says it has shea butter .,bukan produk terbaik untuk pengkondisian meskipun dikatakan mengandung shea butter,bukan produk yang bagus untuk pengkondisian meskipun dikatakan mengandung shea butter.,not the best product for conditioning even though it says it contains shea butter,not a great product for conditioning even though it says it contains shea butter.
enfamil infant isn't characterized by choline and dha .,enfamil infant is characterized by choline and dha .,bayi enfamil tidak ditandai dengan kolin dan dha.,bayi enfamil ditandai dengan kolin dan dha.,enfamil babies are not characterized by choline and dha.,Enfamil babies are characterized by choline and dha.
